日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-02-01,affine_saa_mpc,affine_saa_mpc,19341.7911866621,"[562997.3421539308, 621535.8973929391, 571232.3422088488, 614998.0233712565, 552631.5577244714, 565724.6418747]"
2025-02-02,affine_saa_mpc,affine_saa_mpc,64522.141518631484,"[583321.7914039833, 643200.3803046573, 590695.8029724883, 636472.5747348509, 571973.3489111336, 585071.2665190669]"
2025-02-03,affine_saa_mpc,affine_saa_mpc,64302.99248798617,"[649044.2891571167, 709413.0435621734, 655330.6922172043, 701373.9899255544, 636495.4904297651, 649596.5673567983]"
2025-02-04,affine_saa_mpc,affine_saa_mpc,64818.62236266349,"[714432.4271210643, 776272.5721427052, 719633.6847051904, 768309.108017673, 700798.4829177513, 713918.7724744774]"
2025-02-05,affine_saa_mpc,affine_saa_mpc,63530.58316796831,"[780352.4530258859, 849914.6174737322, 785388.9615885367, 840848.872825478, 765617.1052804148, 778748.540590009]"
2025-02-06,affine_saa_mpc,affine_saa_mpc,64672.49880891332,"[844939.2346262421, 918171.8427466102, 848973.0764444098, 909040.964761697, 829147.6884483831, 842346.8348596719]"
2025-02-07,affine_saa_mpc,affine_saa_mpc,18511.56725504441,"[910559.5287541967, 985142.5957375093, 913674.0760671113, 975852.1545455339, 893820.1872572963, 907038.9920162929]"
2025-02-08,affine_saa_mpc,affine_saa_mpc,16722.05610196974,"[929947.1130595462, 1005991.3229807413, 932187.6021880915, 995724.7449646118, 912331.7545123406, 925564.6960903502]"
2025-02-09,affine_saa_mpc,affine_saa_mpc,59749.36475467371,"[947582.1914627815, 1029349.1595626567, 949184.8951834393, 1018839.0994178976, 929053.8106143104, 942341.7039004898]"
2025-02-10,affine_saa_mpc,affine_saa_mpc,59564.92478223962,"[1008468.4659252262, 1096032.2232419637, 1012284.0212063547, 1086428.8677430444, 988803.1753689841, 1003924.1610776072]"
2025-02-11,affine_saa_mpc,affine_saa_mpc,58080.81862413559,"[1069092.4203286518, 1158141.4027022736, 1072132.1475033062, 1147992.8044935449, 1048368.1001512237, 1063667.161123129]"
2025-02-12,affine_saa_mpc,affine_saa_mpc,57613.5230956635,"[1128198.7139870222, 1221001.8150901275, 1131166.935430359, 1210753.4119120275, 1106448.9187753594, 1122464.493845108]"
2025-02-13,affine_saa_mpc,affine_saa_mpc,56806.99937114713,"[1186730.7305972388, 1285720.3136037805, 1189119.84758108, 1275377.1398812626, 1164062.4418710228, 1180245.8988236221]"
2025-02-14,affine_saa_mpc,affine_saa_mpc,15615.054427810468,"[1244443.5476197961, 1346448.9088323235, 1246541.617921763, 1335678.6337761278, 1220869.44124217, 1237125.85184635]"
2025-02-15,affine_saa_mpc,affine_saa_mpc,16027.569005567948,"[1260543.7687734435, 1366149.4732395995, 1263117.9243056527, 1355070.7275280878, 1236484.4956699805, 1252940.025867337]"
2025-02-16,affine_saa_mpc,affine_saa_mpc,55325.84354371157,"[1277020.953330372, 1387384.1303248685, 1280099.4706886315, 1376132.612575754, 1252512.0646755486, 1269547.9224673084]"
2025-02-17,affine_saa_mpc,affine_saa_mpc,54489.072730381085,"[1333267.7013964981, 1451875.349134127, 1337888.6379289343, 1441897.136968183, 1307837.9082192602, 1326513.0046678935]"
2025-02-18,affine_saa_mpc,affine_saa_mpc,53589.60269496958,"[1388575.3139968296, 1510183.9478524257, 1392824.4472689552, 1500369.3093555046, 1362326.9809496412, 1381154.671826821]"
2025-02-19,affine_saa_mpc,affine_saa_mpc,53213.15749656873,"[1442916.8660063287, 1569877.3179888795, 1446702.6894854621, 1559920.4193285762, 1415916.5836446108, 1434819.6191090501]"
2025-02-20,affine_saa_mpc,affine_saa_mpc,52950.56846421825,"[1424311.0555836158, 1555157.9970037458, 1427888.4135117573, 1545593.8725315058, 1397783.3669474085, 1417074.0875464473]"
2025-02-21,affine_saa_mpc,affine_saa_mpc,15246.029139970084,"[1404523.641238457, 1528876.5244223203, 1404030.9673257712, 1518394.221112967, 1376807.7040610395, 1394159.152362221]"
2025-02-22,affine_saa_mpc,affine_saa_mpc,15328.11649494767,"[1397232.0706196174, 1521919.6339084157, 1397108.9954030598, 1512120.8818311775, 1370251.810152365, 1387510.9468881642]"
