date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,planned_energy,adjusted_energy,spill_energy,projection_count,projection_total_kwh,projection_max_kwh
2025-02-01,19341.79118666207,0.0,0.0,3.143246196657401e-11,19341.7911866621,8.714806654097629e-12,45759.71458481191,45759.71458481191,7613.443299845188,0,0.0,0.0
2025-02-02,64522.14151863144,0.0,0.0,4.245701745730912e-11,64522.141518631484,1.0558665053395089e-11,91462.16584690454,91462.16584690454,8947.401522499582,0,0.0,0.0
2025-02-03,64302.992487986114,0.0,0.0,5.6169465523225884e-11,64302.99248798617,1.1521450460350025e-11,89671.65160966112,89671.65160966112,5395.541965833973,0,0.0,0.0
2025-02-04,64818.62236266344,0.0,0.0,4.453498547718482e-11,64818.62236266349,1.0103917702508625e-11,90451.11572451805,90451.11572451805,4945.555360649177,0,0.0,0.0
2025-02-05,63530.58316796825,0.0,0.0,6.014338493898207e-11,63530.58316796831,1.3705925283602483e-11,89212.32065368738,89212.32065368738,4112.217614506869,0,0.0,0.0
2025-02-06,64672.498808913246,0.0,0.0,6.78258817998767e-11,64672.49880891332,1.5131451647221184e-11,90455.28268773835,90455.28268773835,5783.730997619226,0,0.0,0.0
2025-02-07,18511.567255044392,0.0,0.0,2.0152505442183612e-11,18511.56725504441,7.37543359718984e-12,43963.387508500804,43963.387508500804,8447.428856686607,0,0.0,0.0
2025-02-08,16722.05610196971,0.0,0.0,3.04863050359927e-11,16722.05610196974,1.1025846902157355e-11,40191.66277867941,40191.66277867941,4704.5899953148,0,0.0,0.0
2025-02-09,59749.36475467362,0.0,0.0,9.675157031097115e-11,59749.36475467371,2.4144242161128204e-11,84722.39107729001,84722.39107729001,855.9563771717585,0,0.0,0.0
2025-02-10,59564.92478223957,0.0,0.0,4.454827706723563e-11,59564.92478223962,1.318944953254686e-11,86022.17334778917,86022.17334778917,7652.719034987807,0,0.0,0.0
2025-02-11,58080.81862413554,0.0,0.0,5.104376299414071e-11,58080.81862413559,1.462119314510346e-11,84187.46972967632,84187.46972967632,4693.03879871872,0,0.0,0.0
2025-02-12,57613.52309566344,0.0,0.0,6.050541045965473e-11,57613.5230956635,1.404742988597718e-11,83779.69590803087,83779.69590803087,4247.544677797832,0,0.0,0.0
