日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-02-01,0.0,0.0,0.0,0.0,1.0,0.0,19521.08351336038,19521.083513360376,-3.637978807091713e-12
2025-02-02,0.0,0.0,0.0,0.0,1.0,0.0,63717.905276008365,63717.90527600838,1.4551915228366852e-11
2025-02-03,0.0,0.0,0.0,0.0,1.0,0.0,65628.65363690877,65628.65363690877,0.0
2025-02-04,0.0,0.0,1.3246190553659421e-14,0.0,0.9999999999999868,0.0,67835.94532060108,67835.94532060105,-2.9103830456733704e-11
2025-02-05,0.0,0.0,2.3799324299247716e-14,0.0,0.9999999999999761,0.0,64101.19809794561,64101.198097945606,-7.275957614183426e-12
2025-02-06,0.0,0.0,0.0,0.0,0.9999999999999958,4.323854018412953e-15,66715.17131942438,66715.1713194244,1.4551915228366852e-11
2025-02-07,0.0,0.0,0.0,0.0,0.9999999999998943,1.0574617798732155e-13,19075.344827760524,19075.344827760535,1.0913936421275139e-11
2025-02-08,0.0,0.0,0.0,0.0,0.9999999999999034,9.65200160195684e-14,15848.35844427545,15848.358444275462,1.0913936421275139e-11
2025-02-09,0.0,0.0,0.0,0.0,1.0,0.0,62456.92413406991,62456.9241340699,-7.275957614183426e-12
2025-02-10,0.0,0.0,8.538142921055986e-15,0.0,0.9999999999999916,0.0,57300.23160139589,57300.23160139587,-2.1827872842550278e-11
2025-02-11,0.0,0.0,0.0,0.0,0.9999999999997925,2.0755533401710598e-13,57535.63237518652,57535.632375186564,4.3655745685100555e-11
2025-02-12,0.0,0.0,0.0,0.0,1.0,0.0,58642.664709698794,58642.66470969877,-2.1827872842550278e-11
2025-02-13,0.0,0.0,0.0,0.0,1.0,0.0,53610.29513976999,53610.29513976998,-7.275957614183426e-12
2025-02-14,0.0,0.0,0.0,0.0,1.0,0.0,16110.392685313125,16110.392685313122,-3.637978807091713e-12
2025-02-15,0.0,0.0,0.0,0.0,1.0,0.0,16534.936151095964,16534.93615109596,-3.637978807091713e-12
2025-02-16,0.0,0.0,0.0,0.0,1.0,0.0,58032.58639102043,58032.58639102043,0.0
2025-02-17,0.0,0.0,0.0,0.0,0.9999999999999369,6.29974401877318e-14,55334.105975126025,55334.10597512605,2.1827872842550278e-11
2025-02-18,0.0,0.0,0.0,0.0,1.0,0.0,52149.741530344516,52149.741530344516,0.0
2025-02-19,0.0,0.0,0.0,0.0,1.0,0.0,53137.01853086977,53137.01853086977,0.0
2025-02-20,0.0,0.0,0.0,0.0,0.999999999999936,6.39477997278039e-14,53226.34777680599,53226.34777680601,2.1827872842550278e-11
2025-02-21,0.0,0.0,7.557675443593392e-14,0.0,0.9999999999998022,1.2230595152835865e-13,15210.387500903895,15210.38750090394,4.547473508864641e-11
2025-02-22,0.0,0.0,9.731583238300813e-16,0.0,0.999999999999999,0.0,15704.868361613531,15704.868361613488,-4.3655745685100555e-11
2025-02-23,0.0,0.0,0.0,0.0,1.0,0.0,52685.303777858826,52685.30377785883,7.275957614183426e-12
2025-02-24,0.0,0.0,0.0,0.0,0.9999999999999374,6.261653761006973e-14,50874.81446893299,50874.814468933015,2.1827872842550278e-11
2025-02-25,0.0,0.0,9.859949655462104e-16,0.0,0.9999999999999991,0.0,49880.48469551015,49880.48469551012,-3.637978807091713e-11
2025-02-26,0.0,0.0,0.0,0.0,1.0,0.0,49571.8524013003,49571.8524013003,0.0
2025-02-27,0.0,0.0,0.0,0.0,1.0,0.0,47433.6311598373,47433.63115983729,-7.275957614183426e-12
2025-02-28,0.0,0.0,0.0,0.0,1.0,0.0,14272.743879191354,14272.743879191352,-1.8189894035458565e-12
2025-03-01,0.0,0.0,0.0,0.0,1.0,0.0,15468.446298039944,15468.446298039944,0.0
2025-03-02,0.0,0.0,0.0,0.0,1.0,0.0,54736.27396469657,54736.27396469657,0.0
2025-03-03,0.0,0.0,0.0,0.0,1.0,0.0,54882.97387383151,54882.97387383152,7.275957614183426e-12
2025-03-04,0.0,0.0,0.0,0.0,1.0,0.0,50006.50997484128,50006.50997484128,0.0
2025-03-05,0.0,0.0,0.0,0.0,1.0,0.0,49583.751807960005,49583.75180796,-7.275957614183426e-12
2025-03-06,0.0,0.0,0.0,0.0,1.0,0.0,47680.61877492401,47680.61877492402,7.275957614183426e-12
2025-03-07,0.0,0.0,0.0,0.0,1.0,0.0,14553.09031446709,14553.090314467092,1.8189894035458565e-12
2025-03-08,0.0,0.0,0.0,0.0,0.9999999999999993,6.904547668053014e-16,13728.85476754166,13728.85476754166,0.0
2025-03-09,0.0,0.0,0.0,0.0,1.0,0.0,46550.44174147407,46550.44174147406,-7.275957614183426e-12
2025-03-10,2.775557561562885e-15,0.0,0.0,0.0,0.9999999999999972,0.0,49081.84371979039,49081.843719790355,-3.637978807091713e-11
2025-03-11,0.0,0.0,8.4197992902376475e-16,0.0,0.9999999999999983,7.981096417486924e-16,45959.83869280862,45959.83869280858,-3.637978807091713e-11
2025-03-12,0.0,0.0,0.0,0.0,1.0,0.0,45565.208190428246,45565.20819042824,-7.275957614183426e-12
2025-03-13,0.0,0.0,5.150518474079163e-16,0.0,0.9999999999999986,9.643560572862653e-16,47946.4498914238,47946.449891423705,-9.458744898438454e-11
2025-03-14,7.843186636598487e-16,0.0,2.0567688084879764e-15,0.0,0.9999999999999972,0.0,12862.200428780547,12862.200428780521,-2.546585164964199e-11
2025-03-15,8.881784197001233e-16,0.0,1.032307888336106e-15,0.0,0.999999999999998,0.0,13502.0863578551,13502.08635785506,-4.001776687800884e-11
2025-03-16,4.290385569248697e-15,0.0,0.0,0.0,0.9999999999999958,0.0,45805.9055147183,45805.90551471826,-4.3655745685100555e-11
2025-03-17,0.0,0.0,0.0,0.0,1.0,0.0,40390.20136545257,40390.201365452565,-7.275957614183426e-12
2025-03-18,0.0,0.0,0.0,0.0,1.0,0.0,45445.57400575565,45445.57400575564,-7.275957614183426e-12
2025-03-19,0.0,0.0,0.0,0.0,1.0,0.0,41908.59746447225,41908.59746447226,7.275957614183426e-12
2025-03-20,0.0,0.0,0.0,0.0,0.9999999999999989,1.1001886886389744e-15,44330.43862390097,44330.43862390094,-2.9103830456733704e-11
2025-03-21,0.0,0.0,0.0,0.0,0.9999999999999815,1.853698082532332e-14,12469.376328717863,12469.376328717857,-5.4569682106375694e-12
2025-03-22,0.0,0.0,0.0,0.0,1.0,0.0,13387.753660620736,13387.753660620736,0.0
2025-03-23,0.0,0.0,0.0,0.0,1.0,0.0,43501.021798679656,43501.02179867965,-7.275957614183426e-12
2025-03-24,0.0,0.0,0.0,0.0,0.9999999999999956,4.484619945079197e-15,41839.81095306075,41839.81095306071,-3.637978807091713e-11
2025-03-25,0.0,0.0,0.0,0.0,0.999999999999998,2.002643215868346e-15,44700.69324247019,44700.69324247016,-2.9103830456733704e-11
