日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,无,0.0
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,06:30-06:40,1.4044342442101652
2025-02-11,10:30-10:40,21.040679798980854
2025-02-12,09:40-10:20,197.69797467000325
2025-02-13,无,0.0
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,无,0.0
2025-02-17,无,0.0
2025-02-18,无,0.0
2025-02-19,23:50-24:00,13.634709466185427
2025-02-20,06:00-06:10,13.329015207376074
2025-02-21,无,0.0
2025-02-22,23:50-24:00,5.572826184843393
2025-02-23,无,0.0
2025-02-24,无,0.0
2025-02-25,06:20-06:30,16.538907934928943
2025-02-26,无,0.0
2025-02-27,无,0.0
2025-02-28,无,0.0
2025-03-01,无,0.0
2025-03-02,无,0.0
2025-03-03,无,0.0
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,23:50-24:00,6.454727163420387
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,无,0.0
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,无,0.0
2025-03-14,无,0.0
2025-03-15,23:50-24:00,48.300465229739984
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,无,0.0
2025-03-21,无,0.0
2025-03-22,无,0.0
2025-03-23,无,0.0
2025-03-24,无,0.0
2025-03-25,无,0.0
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,无,0.0
2025-04-02,无,0.0
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,无,0.0
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,20:20-20:50,170.08732837773573
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,23:50-24:00,27.408221755710883
2025-04-21,无,0.0
2025-04-22,23:50-24:00,13.683959110999012
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,无,0.0
2025-04-27,无,0.0
2025-04-28,无,0.0
2025-04-29,无,0.0
2025-04-30,无,0.0
2025-05-01,20:00-21:50,1215.973081858685
2025-05-01,22:40-24:00,738.190778413569
2025-05-02,20:40-21:20,463.91857602261183
2025-05-02,21:30-21:50,225.80962447404835
2025-05-02,22:50-23:10,26.299574130591907
2025-05-02,23:20-23:30,5.53912474810096
2025-05-02,23:40-24:00,402.68689622737026
2025-05-03,20:10-20:20,158.23940009219416
2025-05-03,20:40-20:50,127.56327690785326
2025-05-03,21:00-21:50,515.3155780811571
2025-05-03,22:00-22:10,24.48285056063054
2025-05-03,23:10-23:40,65.33209522944446
2025-05-03,23:50-24:00,85.21430320561166
2025-05-04,18:40-18:50,5.996950000000652
2025-05-04,20:30-20:50,47.9984479380322
2025-05-04,21:10-22:00,196.4624185855306
2025-05-04,22:40-23:00,50.904340266292365
2025-05-04,23:10-23:20,10.677968669592815
2025-05-04,23:30-24:00,241.1840258815431
2025-05-05,20:20-20:40,53.839777014671995
2025-05-05,22:40-22:50,28.185812077720357
2025-05-05,23:10-24:00,366.89663637762874
2025-05-06,21:30-21:50,52.96494178451212
2025-05-06,22:20-23:30,250.50809333914333
2025-05-06,23:40-24:00,277.03072428811754
2025-05-07,23:30-23:40,7.88152037052248
2025-05-08,无,0.0
2025-05-09,无,0.0
2025-05-10,无,0.0
2025-05-11,19:20-19:30,27.561666666666497
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,23:50-24:00,39.03749011217053
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,无,0.0
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,无,0.0
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,无,0.0
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,无,0.0
2025-05-30,无,0.0
2025-05-31,23:50-24:00,79.03470035578312
2025-06-01,16:20-17:20,389.3016300849645
2025-06-02,15:40-15:50,91.0296292133508
2025-06-02,16:30-17:20,280.9813523806815
2025-06-03,17:20-17:50,320.61816671903523
2025-06-04,05:30-05:40,50.796849608393586
2025-06-04,20:30-20:40,25.735231474755665
2025-06-04,21:10-21:40,193.95604179577504
2025-06-04,23:20-24:00,347.21775217168056
2025-06-05,20:30-20:50,288.1139449290147
2025-06-05,21:40-21:50,49.477327339613
2025-06-05,23:00-23:10,9.657352341980982
2025-06-05,23:20-24:00,806.6334644200348
2025-06-06,05:20-05:40,83.56854197398576
2025-06-06,20:40-20:50,34.82671314372044
2025-06-06,21:00-21:50,123.2470580822461
2025-06-06,23:40-24:00,39.29441126418271
2025-06-07,无,0.0
2025-06-08,无,0.0
2025-06-09,无,0.0
2025-06-10,无,0.0
2025-06-11,无,0.0
2025-06-12,无,0.0
2025-06-13,无,0.0
2025-06-14,无,0.0
2025-06-15,无,0.0
2025-06-16,无,0.0
2025-06-17,无,0.0
2025-06-18,无,0.0
2025-06-19,无,0.0
2025-06-20,无,0.0
2025-06-21,无,0.0
2025-06-22,无,0.0
2025-06-23,无,0.0
2025-06-24,无,0.0
2025-06-25,无,0.0
2025-06-26,无,0.0
2025-06-27,无,0.0
2025-06-28,无,0.0
2025-06-29,无,0.0
2025-06-30,23:50-24:00,53.76006269322113
2025-07-01,19:40-19:50,12.696925630805026
2025-07-02,03:40-05:30,2017.7128915058815
2025-07-02,19:00-19:20,31.32237146114369
2025-07-03,02:30-04:00,706.6405407317399
2025-07-03,05:00-05:10,126.45033053820885
2025-07-03,05:20-05:50,265.20244167435783
2025-07-03,18:40-18:50,61.05642627762484
2025-07-03,20:30-20:40,28.412249960964004
2025-07-03,21:20-21:40,96.72384282222856
2025-07-04,01:50-02:00,19.263822518287498
2025-07-04,02:20-02:30,124.63473396037813
2025-07-04,02:40-04:20,1469.9159896357369
2025-07-04,04:30-05:00,604.5712162868913
2025-07-04,05:30-05:40,6.813990297935447
2025-07-04,06:40-07:10,235.59589073977816
2025-07-04,20:20-20:50,207.40722981665635
2025-07-04,21:00-21:20,81.38920467207913
