日期,合同费用_元,紧急费用_元,总费用_元,紧急电量_kWh
2025-02-01,23686.783688960088,4.7183803530970186e-11,23686.783688960135,1.3063328196949442e-11
2025-02-02,58113.20963015953,3.920305502447263e-11,58113.20963015957,1.0885514711844735e-11
2025-02-03,57064.476654370206,6.267099417200938e-11,57064.476654370264,1.5986323376182554e-11
2025-02-04,57530.45602749122,6.67819364252864e-11,57530.45602749129,1.764988155628089e-11
2025-02-05,56388.97563449155,6.714304245925007e-11,56388.97563449162,1.7551737840904025e-11
2025-02-06,57381.84694736543,1.0033871689074657e-10,57381.84694736553,2.2822632672614418e-11
2025-02-07,22753.13884746783,3.601034848088602e-11,22753.138847467868,9.961809155356605e-12
2025-02-08,20553.723776907078,3.5384541519079e-11,20553.723776907114,1.0514256132410083e-11
2025-02-09,53601.92498670602,7.683954095227818e-11,53601.9249867061,2.4130031306413002e-11
2025-02-10,54333.977142710035,5.793120294583787e-11,54333.97714271009,2.0264678823878057e-11
2025-02-11,52953.67112125276,132.6636545350765,53086.33477578784,26.879476149350253
2025-02-12,52647.72809977353,1.3436944357181346e-10,52647.72809977366,3.5001335163542535e-11
2025-02-13,52269.67576692514,8.542367879726953e-11,52269.67576692522,2.4385826691286638e-11
2025-02-14,19299.197468039765,4.528989805407945e-11,19299.19746803981,1.2221335055073723e-11
2025-02-15,19064.854732366264,7.716416483560808e-11,19064.85473236634,2.078692773466173e-11
2025-02-16,50436.50869735385,1.3777889229515947e-10,50436.50869735399,3.751843280497269e-11
2025-02-17,49860.57492169086,7.566563131611304e-11,49860.57492169093,2.0300650049875912e-11
2025-02-18,49685.52524602252,6.544292574517386e-11,49685.525246022575,1.7742252111929702e-11
2025-02-19,49321.75704893969,194.16839274756322,49515.92544168726,70.06119908047575
2025-02-20,48883.021794699474,28.692098943946764,48911.71389364342,6.125554855675404
2025-02-21,18543.30760595929,4.187012547784974e-11,18543.307605959333,1.1053158388563133e-11
2025-02-22,18455.222346278817,10.629423333381515,18465.8517696122,4.971666666679482
2025-02-23,48324.762924454946,4.0755461228059175e-11,48324.76292445499,1.3482548411047901e-11
2025-02-24,47506.92925899723,5.414852388696545e-11,47506.92925899729,1.5415224652315374e-11
2025-02-25,47583.08174324221,9.285685109716723e-11,47583.0817432423,2.3305801732931286e-11
2025-02-26,47224.9709796856,7.795850809344529e-11,47224.97097968568,2.177280578052887e-11
2025-02-27,46389.640002039174,5.535051883498454e-11,46389.64000203922,1.5589307622576598e-11
2025-02-28,17751.928081460122,5.5053732239684903e-11,17751.928081460173,1.4665602066088468e-11
2025-03-01,17781.25173084956,3.8376078315138784e-11,17781.251730849595,1.0254908033857646e-11
2025-03-02,45829.49067918768,15091.263226881107,60920.753906068785,3625.578003693947
2025-03-03,46124.1530713701,10820.991504576163,56945.144575946266,2528.022377747253
2025-03-04,47370.02913031129,8.91374257738775e-11,47370.02913031138,2.265321263905662e-11
2025-03-05,47844.71967122285,6.822997633548765e-11,47844.71967122291,2.1948665107629495e-11
2025-03-06,47810.88785587238,23.67835000005719,47834.56620587244,11.075000000014825
2025-03-07,17584.510324583192,5.5517688224426814e-11,17584.510324583247,1.4075851595407585e-11
2025-03-08,16908.632727576733,4.5276607352207065e-11,16908.632727576776,1.3699263945454732e-11
2025-03-09,45736.40173571347,3.930127245865833e-11,45736.40173571351,1.3230305739853065e-11
2025-03-10,44790.719754365884,744.9119484744886,45535.63170284037,357.2194264455798
2025-03-11,44432.93544851344,1.199254526795812e-10,44432.935448513555,3.2081004519568523e-11
2025-03-12,44066.42674500635,1.2092570056410067e-10,44066.42674500647,3.0957902907857715e-11
2025-03-13,43390.815755531876,5025.211492848452,48416.02724838033,1135.2245485972555
2025-03-14,16132.152147492692,6.292534493468338e-11,16132.152147492754,1.6690648863004753e-11
2025-03-15,16277.440159800084,7.604349860912407e-11,16277.44015980016,1.9753088054130785e-11
2025-03-16,43318.56721859685,7.461180000058992,43326.02839859691,1.6400000000174817
2025-03-17,43311.38497891825,6.903981386585657e-11,43311.384978918315,2.0328627670096466e-11
2025-03-18,42073.38726066069,1.0445527731661742e-10,42073.38726066079,2.9023894398960692e-11
2025-03-19,42328.74921216488,7.56797504664064e-11,42328.749212164956,2.5011104298755527e-11
2025-03-20,42380.47757459196,1.0525657678783773e-10,42380.47757459206,2.937028398264374e-11
2025-03-21,15807.030314824993,5.92167008761635e-11,15807.030314825055,1.532285409666656e-11
2025-03-22,16259.58343364671,4.237407225105017e-11,16259.583433646752,1.3010037491767434e-11
2025-03-23,40859.40473534308,5.6025129424597255e-11,40859.40473534313,2.0463630789890885e-11
2025-03-24,40436.807443205566,5.51218235500528e-11,40436.80744320562,1.6200374375330284e-11
2025-03-25,40190.020492796066,7.511795274695032e-11,40190.02049279614,2.1387336346379016e-11
2025-03-26,40189.515568246214,4.569307776591813e-11,40189.51556824626,1.5866419289523037e-11
2025-03-27,40167.17254492191,5.55841248583988e-11,40167.17254492197,1.666755622409255e-11
2025-03-28,15483.338962440504,1.9815274754364512e-11,15483.338962440528,6.366462912410498e-12
