日期,合同费用_元,紧急费用_元,总费用_元,紧急电量_kWh
2025-02-01,19341.79118666207,5.08727193704317e-11,19341.79118666212,1.3240963880889467e-11
2025-02-02,64522.14151863145,8.456142808199729e-11,64522.14151863154,1.8630430531629827e-11
2025-02-03,64302.99248798612,9.051911931123868e-11,64302.99248798621,1.7543300145916874e-11
2025-02-04,64818.62236266344,4.453498547718482e-11,64818.62236266349,1.0103917702508625e-11
2025-02-05,63530.58316796825,6.014338493898207e-11,63530.58316796831,1.3705925283602483e-11
2025-02-06,64672.498808913246,5.89096824654689e-11,64672.49880891331,1.2422507467135802e-11
2025-02-07,18511.567255044392,2.0152505442183612e-11,18511.56725504441,7.37543359718984e-12
2025-02-08,16722.05610196971,4.179652179914228e-11,16722.056101969752,1.5084822280186927e-11
2025-02-09,59749.36475467362,1.0324585986154489e-10,59749.36475467372,2.5551116777933203e-11
2025-02-10,59564.924782239585,7.814685432094847e-11,59564.924782239665,2.2396307031158358e-11
2025-02-11,58080.818624135536,1.1946066535983847e-10,58080.81862413566,3.026734418654087e-11
2025-02-12,57613.52309566344,9.201517414680892e-11,57613.52309566353,1.9845458609779598e-11
2025-02-13,56806.99937114709,4.5524304326249874e-11,56806.99937114713,1.1953549261534135e-11
2025-02-14,15615.054427810426,5.209201958678022e-11,15615.054427810479,1.574562702444382e-11
2025-02-15,16027.569005567904,4.313713652948081e-11,16027.569005567948,1.518785097687214e-11
2025-02-16,55325.84354371151,5.826055815560949e-11,55325.84354371157,1.4177103935253399e-11
2025-02-17,54489.07273038103,4.938557651712472e-11,54489.072730381085,1.2676082405960187e-11
2025-02-18,53589.60269496952,5.215381104761718e-11,53589.60269496958,1.4315659768726618e-11
2025-02-19,53196.24297656868,16.914520000183728,53213.15749656888,7.720000000046447
2025-02-20,52920.584981080596,29.983483137654986,52950.56846421825,5.34417309289303
2025-02-21,15246.029139970045,3.720914232285821e-11,15246.029139970084,1.429323326362919e-11
2025-02-22,15318.12841661429,9.988078333377663,15328.11649494767,4.971666666681955
2025-02-23,52051.9787421513,5.409982239967803e-11,52051.97874215136,1.5435208666758626e-11
2025-02-24,51121.159108873224,5.563421900944832e-11,51121.15910887328,1.411848415955319e-11
2025-02-25,50399.36752807987,3.1563910596332786e-11,50399.36752807991,8.419931418757187e-12
2025-02-26,50489.59203518311,6.716323674993418e-11,50489.592035183174,1.8458123918208003e-11
2025-02-27,48331.810448619915,5.943481085068925e-11,48331.810448619966,1.4210854715202004e-11
2025-02-28,14212.264060108082,3.364627332302916e-11,14212.264060108115,1.2448708730516955e-11
2025-03-01,14400.022019241893,6.452319922800597e-11,14400.022019241957,1.8616219676914625e-11
2025-03-02,48783.66481338785,16950.751670156864,65734.41648354472,3385.859503972503
2025-03-03,49194.923139375845,12098.41022414034,61293.33336351619,2456.7725977708324
2025-03-04,50392.510280307026,4.8742780478505664e-11,50392.51028030707,1.3283596445035073e-11
2025-03-05,50084.75730584988,8.299661047317386e-11,50084.75730584997,2.022382261657185e-11
2025-03-06,49971.42977523687,18.42326250009814,49989.853037736975,11.075000000024914
2025-03-07,14021.084310761562,3.482186272663057e-11,14021.084310761596,1.1617373729677638e-11
2025-03-08,13524.383144839941,3.983997309831011e-11,13524.383144839981,1.3082868122182845e-11
2025-03-09,47306.090213068426,4.692491462066073e-11,47306.09021306848,1.3784529073745944e-11
2025-03-10,47807.12653248823,1.589517695244069e-10,47807.126532488386,4.149836030364895e-11
2025-03-11,46554.57607114648,1.0095982094782129e-10,46554.576071146585,2.667199794359476e-11
2025-03-12,45503.905376339535,5.162384231205408e-11,45503.90537633958,1.3393286479868038e-11
2025-03-13,45582.02289964065,5224.471668309797,50806.494567950445,1118.1760419577417
2025-03-14,12547.036299783915,2.0929832089677803e-11,12547.036299783937,7.275957614183426e-12
2025-03-15,13181.495318535059,92.47782022278803,13273.973138757847,38.13518359701832
