日期,合同费用_元,紧急费用_元,总费用_元,紧急电量_kWh
2025-02-01,19341.79118666207,3.143246196657401e-11,19341.7911866621,8.714806654097629e-12
2025-02-02,64522.14151863144,4.245701745730912e-11,64522.141518631484,1.0558665053395089e-11
2025-02-03,64302.992487986114,5.6169465523225884e-11,64302.99248798617,1.1521450460350025e-11
2025-02-04,64818.62236266344,4.453498547718482e-11,64818.62236266349,1.0103917702508625e-11
2025-02-05,63530.58316796825,6.014338493898207e-11,63530.58316796831,1.3705925283602483e-11
2025-02-06,64672.498808913246,6.78258817998767e-11,64672.49880891332,1.5131451647221184e-11
2025-02-07,18511.567255044392,2.0152505442183612e-11,18511.56725504441,7.37543359718984e-12
2025-02-08,16722.05610196971,3.04863050359927e-11,16722.05610196974,1.1025846902157355e-11
2025-02-09,59749.36475467362,9.675157031097115e-11,59749.36475467371,2.4144242161128204e-11
2025-02-10,59564.92478223957,4.454827706723563e-11,59564.92478223962,1.318944953254686e-11
2025-02-11,58080.81862413554,5.104376299414071e-11,58080.81862413559,1.462119314510346e-11
2025-02-12,57613.52309566344,6.050541045965473e-11,57613.5230956635,1.404742988597718e-11
2025-02-13,56806.99937114708,5.097967736844566e-11,56806.99937114713,1.3506085139169954e-11
2025-02-14,15615.054427810426,4.1987547660937706e-11,15615.054427810468,1.2931877790833823e-11
2025-02-15,16027.569005567904,4.313713652948081e-11,16027.569005567948,1.518785097687214e-11
2025-02-16,55325.84354371151,5.826055815560949e-11,55325.84354371157,1.4177103935253399e-11
2025-02-17,54489.07273038103,4.938557651712472e-11,54489.072730381085,1.2676082405960187e-11
2025-02-18,53589.60269496952,5.215381104761718e-11,53589.60269496958,1.4315659768726618e-11
2025-02-19,53196.242976568676,16.91452000005473,53213.15749656873,7.720000000016299
2025-02-20,52920.584981080596,29.983483137654986,52950.56846421825,5.34417309289303
2025-02-21,15246.029139970045,3.720914232285821e-11,15246.029139970084,1.429323326362919e-11
2025-02-22,15318.12841661429,9.988078333377663,15328.11649494767,4.971666666681955
2025-02-23,52051.9787421513,5.409982239967803e-11,52051.97874215136,1.5435208666758626e-11
2025-02-24,51121.159108873224,5.563421900944832e-11,51121.15910887328,1.411848415955319e-11
2025-02-25,50399.36752807987,3.1563910596332786e-11,50399.36752807991,8.419931418757187e-12
2025-02-26,50489.59203518311,6.716323674993418e-11,50489.592035183174,1.8458123918208003e-11
2025-02-27,48331.8104486199,3.9302658905171484e-11,48331.810448619945,1.0221157253909041e-11
2025-02-28,14212.264060108082,3.364627332302916e-11,14212.264060108115,1.2448708730516955e-11
2025-03-01,14400.022019241893,3.04087004465714e-11,14400.022019241922,9.586997862243152e-12
2025-03-02,48783.66481338785,16950.751670156864,65734.41648354472,3385.859503972503
2025-03-03,49194.923139375845,12098.41022414034,61293.33336351619,2456.7725977708324
2025-03-04,50392.510280307026,4.8742780478505664e-11,50392.51028030707,1.3283596445035073e-11
2025-03-05,50084.75730584988,4.2042831438493526e-11,50084.757305849926,1.1214140727133781e-11
2025-03-06,49971.42977523687,18.423262500047095,49989.85303773693,11.075000000012281
2025-03-07,14021.084310761562,3.482186272663057e-11,14021.084310761596,1.1617373729677638e-11
2025-03-08,13524.383144839941,2.452207326086864e-11,13524.383144839967,8.881784197001252e-12
2025-03-09,47306.090213068426,4.692491462066073e-11,47306.09021306848,1.3784529073745944e-11
2025-03-10,47807.12653248824,9.359114061524564e-11,47807.12653248833,2.433520052136373e-11
2025-03-11,46554.57607114648,7.67970407267171e-11,46554.576071146555,2.049027614248189e-11
2025-03-12,45503.905376339535,5.162384231205408e-11,45503.90537633958,1.3393286479868038e-11
2025-03-13,45582.02289964065,5224.471668309797,50806.494567950445,1118.1760419577417
2025-03-14,12547.036299783915,2.0929832089677803e-11,12547.036299783937,7.275957614183426e-12
2025-03-15,13181.495318535059,92.4778202227545,13273.973138757812,38.135183597010645
2025-03-16,44962.08959680115,8.081100000067954,44970.170696801215,1.640000000018448
2025-03-17,43867.93739578682,3.8968209548073675e-11,43867.93739578687,9.417355784080428e-12
2025-03-18,43212.122987672046,5.3644439113043063e-11,43212.1229876721,1.4344081478157023e-11
2025-03-19,43082.175017685724,4.536456543746681e-11,43082.175017685775,1.1873169114551274e-11
2025-03-20,43770.557478581184,5.1727866434703175e-11,43770.557478581235,1.4271250847741612e-11
2025-03-21,12541.32332078621,2.2256848808410723e-11,12541.323320786232,9.666933920016163e-12
2025-03-22,13076.604308454711,2.3219996592160896e-11,13076.604308454731,8.810729923425242e-12
2025-03-23,41474.39899064896,3.938569648198609e-11,41474.398990649,1.3244516594568267e-11
2025-03-24,41315.823712964644,4.906605965970811e-11,41315.82371296469,1.3926637620897964e-11
2025-03-25,41184.5921399229,5.2580446663341724e-11,41184.59213992295,1.5788259588589426e-11
2025-03-26,40669.83440535476,3.6078400711403445e-11,40669.8344053548,1.20579102258489e-11
2025-03-27,40465.61542048731,4.627397931500355e-11,40465.61542048735,1.2375878100101545e-11
2025-03-28,12325.305829330171,1.562403895150055e-11,12325.305829330187,6.0254023992456496e-12
2025-03-29,12026.287717564794,3.514733748488652e-11,12026.287717564828,9.819700608204585e-12
