日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,08:00-08:10,3.179595722786189
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,06:00-06:10,5.147475000000782
2025-02-12,06:20-06:30,17.590338952778666
2025-02-13,06:20-06:30,7.995910684861883
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,无,0.0
2025-02-17,无,0.0
2025-02-18,05:50-06:00,8.248333333334017
2025-02-18,06:20-06:30,10.094908333333024
2025-02-19,05:50-06:00,2.7383333333341398
2025-02-19,06:20-06:30,58.09255833333316
2025-02-20,06:00-06:10,42.40957500000047
2025-02-21,无,0.0
2025-02-22,无,0.0
2025-02-23,06:00-06:20,14.62665277777819
2025-02-24,06:00-06:20,55.01006111111167
2025-02-25,06:10-06:30,35.11854862305802
2025-02-26,无,0.0
2025-02-27,无,0.0
2025-02-28,无,0.0
2025-03-01,无,0.0
2025-03-02,无,0.0
2025-03-03,无,0.0
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,无,0.0
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,20:30-20:40,49.59623333333013
2025-03-14,无,0.0
2025-03-15,无,0.0
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,无,0.0
2025-03-21,无,0.0
2025-03-22,无,0.0
2025-03-23,20:30-20:40,27.015325000000644
2025-03-24,无,0.0
2025-03-25,无,0.0
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,无,0.0
2025-04-02,无,0.0
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,无,0.0
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,无,0.0
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,无,0.0
2025-04-27,无,0.0
2025-04-28,无,0.0
2025-04-29,无,0.0
2025-04-30,无,0.0
2025-05-01,20:20-21:10,1125.639179433712
2025-05-01,21:20-21:30,13.569505859873289
2025-05-01,23:50-24:00,591.088615354717
2025-05-02,20:40-21:20,523.4192042516577
2025-05-02,21:30-21:50,73.45787188788341
2025-05-02,23:50-24:00,297.62332559739144
2025-05-03,20:30-20:50,398.28474933750647
2025-05-03,21:00-21:50,338.0681129230361
2025-05-04,20:30-21:00,209.1745531642
2025-05-04,21:20-21:30,27.228221463358636
2025-05-04,23:50-24:00,37.2926829649839
2025-05-05,20:30-20:40,185.53151621386496
2025-05-06,20:50-21:00,2.9552200301870926
2025-05-06,21:20-21:50,69.50803985389655
2025-05-06,23:50-24:00,241.04659362540758
2025-05-07,20:30-20:40,62.172734454333295
2025-05-08,20:00-20:10,35.99924999999985
2025-05-09,无,0.0
2025-05-10,无,0.0
2025-05-11,19:10-19:30,28.704699999999548
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,无,0.0
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,20:20-20:30,67.00333333333322
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,20:20-20:30,2.5699999999998226
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,无,0.0
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,19:10-19:20,10.992166666666435
2025-05-30,无,0.0
2025-05-31,无,0.0
2025-06-01,无,0.0
2025-06-02,19:50-20:00,4.340385503659832
2025-06-03,19:30-19:50,69.74561691663018
2025-06-04,19:00-19:20,79.24889523716149
2025-06-04,20:20-20:40,104.32998428851579
2025-06-04,23:50-24:00,225.79656762391096
2025-06-05,18:50-19:10,136.72112927486035
2025-06-05,19:30-19:40,3.9196048324164394
2025-06-05,20:00-20:10,75.49663133661124
2025-06-05,20:30-20:40,52.566428804073894
2025-06-05,23:50-24:00,555.3390409298281
2025-06-06,20:30-20:40,82.16891186193004
2025-06-07,无,0.0
2025-06-08,无,0.0
2025-06-09,无,0.0
2025-06-10,19:10-19:20,22.826950127599503
2025-06-10,19:50-20:10,37.60723459593328
2025-06-11,无,0.0
2025-06-12,无,0.0
2025-06-13,无,0.0
2025-06-14,无,0.0
2025-06-15,无,0.0
2025-06-16,无,0.0
2025-06-17,19:20-19:30,26.14404121577718
2025-06-18,19:50-20:00,0.3307908367139589
2025-06-18,20:20-20:30,11.014745967283375
2025-06-19,19:10-19:30,71.0238845158168
2025-06-20,无,0.0
2025-06-21,无,0.0
2025-06-22,19:00-19:30,21.28595277592376
2025-06-23,无,0.0
2025-06-24,无,0.0
2025-06-25,无,0.0
2025-06-26,19:40-19:50,23.011590044156264
2025-06-27,无,0.0
2025-06-28,无,0.0
2025-06-29,无,0.0
2025-06-30,18:50-19:00,43.30631327384856
2025-06-30,19:30-19:40,26.537871338294167
2025-07-01,09:50-10:10,235.24932672768853
2025-07-01,19:40-20:10,172.7025648956336
2025-07-02,08:50-09:50,417.21559943504263
2025-07-02,19:00-19:30,155.99831987179766
2025-07-02,19:50-20:10,65.73986385083185
2025-07-02,20:30-20:40,17.870874980344183
2025-07-03,18:50-19:00,25.906084659938188
2025-07-03,20:20-20:40,62.31711463049271
2025-07-03,21:10-21:20,0.6613384911427147
2025-07-04,05:10-07:10,1477.250706890079
2025-07-04,20:30-21:20,304.46582978400716
2025-07-04,23:50-24:00,223.830378802494
2025-07-05,05:40-06:30,536.9845357842778
2025-07-05,20:30-20:40,69.95388508040196
2025-07-05,23:50-24:00,39.09833110017257
2025-07-06,18:50-19:50,278.24374549804224
2025-07-06,20:00-20:10,35.424289987937186
2025-07-06,20:20-21:00,89.48725863761945
2025-07-06,23:50-24:00,312.4848552885558
2025-07-07,19:00-19:20,101.23088946379823
2025-07-07,19:40-20:10,147.15528847871315
2025-07-07,21:40-21:50,2.8839008579526535
2025-07-08,18:50-19:00,26.718913046630405
2025-07-08,20:30-20:40,1.9124495350040434
