日期,时间段,计划购电_kWh,最终合同购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,弃电_kWh,电价_元每kWh,时段初SOC_kWh,时段末SOC_kWh
2025-02-01,00:00-00:10,1301.2493,1301.2493,833.3333333333333,0.0,0.0,45.88560000000001,0.4248,6000.0,6750.0
2025-02-01,00:10-00:20,1287.5040833333333,1287.5040833333333,833.3333333333333,0.0,0.0,38.763433333333296,0.4245,6750.0,7500.0
2025-02-01,00:20-00:30,1290.1883333333335,1290.1883333333335,833.3333333333333,0.0,0.0,46.13833333333355,0.4269,7500.0,8250.0
2025-02-01,00:30-00:40,1337.7587833333332,1337.7587833333332,833.3333333333333,0.0,0.0,74.13065,0.4272,8250.0,9000.0
2025-02-01,00:40-00:50,1343.7844,1343.7844,833.3333333333333,0.0,0.0,86.04048333333344,0.4271,9000.0,9750.0
2025-02-01,00:50-01:00,506.2716666666666,506.2716666666666,100.22000000000035,0.0,4.547473508864641e-13,0.0,0.4285,9750.0,9840.198
2025-02-01,01:00-01:10,513.1050833333334,513.1050833333334,76.35489999999966,0.0,0.0,3.979039320256561e-13,0.4311,9840.198,9908.91741
2025-02-01,01:10-01:20,498.13478333333336,498.13478333333336,46.337100000000646,0.0,5.684341886080801e-13,0.0,0.4302,9908.91741,9950.6208
2025-02-01,01:20-01:30,829.035,829.035,382.9549999999997,0.0,0.0,2.8421709430404007e-13,0.4279,9950.6208,10295.2803
2025-02-01,01:30-01:40,510.02421666666663,510.02421666666663,38.25788333333346,0.0,1.1368683772161603e-13,0.0,0.4312,10295.2803,10329.712395
2025-02-01,01:40-01:50,515.9729666666667,515.9729666666667,67.9469999999997,0.0,0.0,3.410605131648481e-13,0.4333,10329.712395,10390.864695
2025-02-01,01:50-02:00,529.9499999999999,529.9499999999999,132.54666666666606,0.0,0.0,5.115907697472721e-13,0.4311,10390.864695,10510.156695
2025-02-01,02:00-02:10,523.8651166666667,523.8651166666667,89.77448333333288,0.0,0.0,5.115907697472721e-13,0.4293,10510.156695,10590.95373
2025-02-01,02:10-02:20,544.55315,544.55315,53.99223333333389,0.0,5.684341886080801e-13,0.0,0.4324,10590.95373,10639.54674
2025-02-01,02:20-02:30,533.4533333333334,533.4533333333334,30.23333333333236,0.0,0.0,9.663381206337363e-13,0.4367,10639.54674,10666.756739999999
2025-02-01,02:30-02:40,510.5498,510.5498,36.47698333333311,0.0,0.0,1.7053025658242404e-13,0.4348,10666.756739999999,10699.586024999999
2025-02-01,02:40-02:50,526.0131,526.0131,64.62869999999991,0.0,0.0,1.1368683772161603e-13,0.4335,10699.586024999999,10757.751854999999
2025-02-01,02:50-03:00,537.5483333333333,537.5483333333333,46.942383333334874,0.0,0.0,13.664283333331753,0.4357,10757.751854999999,10800.0
2025-02-01,03:00-03:10,546.9202333333333,546.9202333333333,0.0,0.0,0.0,63.52068333333324,0.4374,10800.0,10800.0
2025-02-01,03:10-03:20,538.6267166666667,538.6267166666667,0.0,0.0,0.0,52.02479999999997,0.4371,10800.0,10800.0
2025-02-01,03:20-03:30,529.6366666666667,529.6366666666667,0.0,0.0,0.0,30.7883333333333,0.4356,10800.0,10800.0
2025-02-01,03:30-03:40,525.0621,525.0621,0.0,0.0,0.0,6.752366666666603,0.4353,10800.0,10800.0
2025-02-01,03:40-03:50,536.8605166666666,536.8605166666666,0.0,0.0,0.0,27.727049999999963,0.436,10800.0,10800.0
2025-02-01,03:50-04:00,550.9800000000001,550.9800000000001,0.0,0.0,0.0,67.36333333333351,0.4378,10800.0,10800.0
2025-02-01,04:00-04:10,548.2086499999999,548.2086499999999,0.0,0.0,0.0,57.021849999999915,0.4401,10800.0,10800.0
2025-02-01,04:10-04:20,548.7835833333334,548.7835833333334,0.0,0.0,0.0,44.138300000000015,0.4389,10800.0,10800.0
2025-02-01,04:20-04:30,572.0766666666667,572.0766666666667,0.0,0.0,0.0,66.49833333333339,0.4364,10800.0,10800.0
2025-02-01,04:30-04:40,578.2019166666666,578.2019166666666,0.0,0.0,0.0,74.97094999999996,0.4393,10800.0,10800.0
