日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,08:00-08:10,3.726833333334298
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,06:30-06:40,5.490952380953104
2025-02-12,无,0.0
2025-02-13,无,0.0
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,05:50-06:00,19.151666666667325
2025-02-17,无,0.0
2025-02-18,无,0.0
2025-02-19,05:50-06:00,2.7383333333341398
2025-02-20,06:00-06:10,30.841064285714765
2025-02-21,无,0.0
2025-02-22,无,0.0
2025-02-23,无,0.0
2025-02-24,06:00-06:20,43.38709761904818
2025-02-25,06:20-06:30,21.221130952380804
2025-02-26,无,0.0
2025-02-27,09:40-10:00,32.68002342857345
2025-02-28,无,0.0
2025-03-01,无,0.0
2025-03-02,19:30-19:40,345.437833904765
2025-03-02,20:00-20:10,420.92636121428626
2025-03-02,20:20-20:40,1401.8525526666667
2025-03-02,20:50-21:00,23.38328299999978
2025-03-03,09:50-10:30,331.43182678571765
2025-03-03,20:20-20:50,953.3175456428527
2025-03-03,21:00-21:30,41.907333333333554
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,无,0.0
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,20:30-20:40,240.85807395238425
2025-03-14,无,0.0
2025-03-15,无,0.0
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,无,0.0
2025-03-21,无,0.0
2025-03-22,无,0.0
2025-03-23,无,0.0
2025-03-24,无,0.0
2025-03-25,无,0.0
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,无,0.0
2025-04-02,08:50-10:20,1203.6136000000013
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,无,0.0
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,无,0.0
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,无,0.0
2025-04-27,20:40-20:50,524.5334692857095
2025-04-27,21:10-21:20,6.56799999999987
2025-04-28,19:30-19:50,13.99889342856909
2025-04-28,20:00-20:20,1402.7272166666667
2025-04-28,20:30-21:00,707.06695
2025-04-29,20:30-20:40,269.89282719046963
2025-04-30,无,0.0
2025-05-01,20:20-21:30,1490.8378029285727
2025-05-01,23:10-23:50,606.4594901234568
2025-05-02,20:30-21:50,1459.1133071428533
2025-05-02,23:40-24:00,263.2255963333321
2025-05-03,20:40-21:50,983.8055725714262
2025-05-03,23:50-24:00,74.74632150000036
2025-05-04,18:40-18:50,5.996949999999856
2025-05-04,20:30-22:00,1148.1056738095272
2025-05-04,23:50-24:00,168.06368292181145
2025-05-05,20:20-20:40,1027.5133654761912
2025-05-05,21:00-21:30,109.40506399999992
2025-05-05,23:50-24:00,250.30264259259303
2025-05-06,20:30-21:50,905.2446093809509
2025-05-06,23:40-24:00,511.22626604938216
2025-05-07,20:10-20:50,1116.3110180476185
2025-05-07,21:10-21:50,88.46160916666679
2025-05-07,23:50-24:00,126.64963786008218
2025-05-08,无,0.0
2025-05-09,无,0.0
2025-05-10,无,0.0
2025-05-11,19:10-19:30,28.693369047618717
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,无,0.0
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,20:10-20:20,10.23343333333321
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,20:20-20:30,2.5699999999998226
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,无,0.0
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,19:10-19:20,11.31056904761897
2025-05-30,无,0.0
2025-05-31,无,0.0
2025-06-01,09:30-11:00,1011.2187008597898
2025-06-01,18:30-21:50,7524.557516833329
2025-06-01,23:20-24:00,904.9074658436209
2025-06-02,09:10-09:30,101.88220985714307
2025-06-02,19:10-21:30,6035.950011239273
2025-06-02,21:50-22:00,104.25421200000005
2025-06-02,23:50-24:00,788.357689506173
2025-06-03,09:10-10:20,753.3784100714255
2025-06-03,18:50-19:10,81.54056666666656
2025-06-03,19:20-19:40,78.86567380952351
2025-06-03,19:50-20:00,10.93333333333328
2025-06-03,20:10-20:40,2003.1664682380942
2025-06-03,20:50-21:50,330.34473123809494
2025-06-03,23:30-24:00,574.7211753086419
2025-06-04,18:40-19:10,105.28738333333376
2025-06-04,19:30-20:00,55.047764285713924
2025-06-04,20:10-21:40,2162.010112809514
2025-06-04,23:50-24:00,746.6881969135809
2025-06-05,19:00-19:10,83.64053333333311
2025-06-05,19:40-21:00,1423.5600712380992
2025-06-05,21:20-21:50,127.70028833333322
2025-06-05,23:30-24:00,1009.4034789999995
2025-06-06,07:00-07:40,204.4651641190482
2025-06-06,20:00-21:20,3139.924461904762
2025-06-06,21:30-21:50,70.98201666666671
2025-06-06,23:50-24:00,293.785184567901
2025-06-07,20:20-20:50,1123.1258608095245
2025-06-07,21:30-21:50,73.62585549999977
2025-06-07,23:50-24:00,58.89334199999951
2025-06-08,无,0.0
2025-06-09,无,0.0
2025-06-10,无,0.0
2025-06-11,无,0.0
2025-06-12,无,0.0
2025-06-13,无,0.0
2025-06-14,无,0.0
2025-06-15,无,0.0
2025-06-16,无,0.0
2025-06-17,无,0.0
2025-06-18,无,0.0
2025-06-19,19:20-19:30,5.25333333333333
2025-06-20,无,0.0
2025-06-21,无,0.0
2025-06-22,无,0.0
2025-06-23,无,0.0
2025-06-24,无,0.0
2025-06-25,无,0.0
2025-06-26,无,0.0
2025-06-27,无,0.0
2025-06-28,无,0.0
2025-06-29,无,0.0
2025-06-30,无,0.0
2025-07-01,18:40-19:50,354.9315404761911
2025-07-01,20:00-20:20,146.02861428571418
2025-07-01,20:30-20:40,471.16946476190503
2025-07-01,20:50-22:00,370.86852788095234
