date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,planned_energy,adjusted_energy,emergency_energy,spill_energy,emergency_while_charging
2025-02-01,20324.449250052465,0.0,0.0,3.3772932894748915e-11,20324.449250052498,48253.3039681364,48253.3039681364,8.5158546880848e-12,9979.76012756586,3.6557423754857155e-12
2025-02-02,65722.49775313333,0.0,0.0,4.4385643604982755e-11,65722.49775313339,93695.65425714286,93695.65425714286,1.1240786079724785e-11,10880.754908897723,6.252776074688882e-12
2025-02-03,65388.13796394761,0.0,0.0,5.6714213769737403e-11,65388.13796394765,91747.35578130512,91747.35578130512,1.1198153515579179e-11,7205.366580954744,3.979039320256561e-12
2025-02-04,65920.02590482146,0.0,0.0,4.669378483868059e-11,65920.02590482152,92687.10516449148,92687.10516449148,1.0373923942097463e-11,6951.973357442106,5.030642569181509e-12
2025-02-05,64586.7816003562,0.0,0.0,4.486933136149674e-11,64586.78160035623,91236.7166404762,91236.7166404762,9.64917035162216e-12,5974.668935876559,2.9558577807620168e-12
2025-02-06,65593.33048878796,0.0,0.0,26.963639166732477,65620.29412795471,92361.43151116991,92361.43151116991,3.72683333334669,7554.97663362524,6.87805368215777e-12
2025-02-07,19387.58430534947,0.0,0.0,2.549075617253038e-11,19387.58430534949,46390.025519809526,46390.025519809526,7.37543359718984e-12,10964.30810249854,3.339550858072471e-12
2025-02-08,17635.078403235282,0.0,0.0,3.9632865878047596e-11,17635.07840323532,42576.46942680776,42576.46942680776,1.5345946735578764e-11,7057.727977159333,1.1622702800195839e-11
2025-02-09,60886.27446244468,0.0,0.0,7.414862324139904e-11,60886.27446244475,86802.14219262199,86802.14219262199,1.8047785488306545e-11,2801.5505479421145,1.1453948900452815e-11
2025-02-10,60623.95440342545,0.0,0.0,4.136282782951639e-11,60623.954403425494,88042.0572537625,88042.0572537625,9.443112958251731e-12,9633.10965602588,6.600942015211331e-12
2025-02-11,59078.155272894095,0.0,0.0,28.13838547624358,59106.29365837034,86285.08175182246,86285.08175182246,5.490952380966013,6653.945024190493,8.384404281969182e-12
2025-02-12,58532.01661021645,0.0,0.0,5.0416204544490034e-11,58532.0166102165,85704.25572648444,85704.25572648444,1.2747136679536197e-11,5985.486516382143,6.73594513500575e-12
2025-02-13,57712.817022557414,0.0,0.0,5.782416501176613e-11,57712.817022557465,85063.20400194003,85063.20400194003,1.497335588851456e-11,9769.992756143465,6.944222974425429e-12
2025-02-14,16100.22115364722,0.0,0.0,5.179691697776435e-11,16100.221153647273,38751.67841746032,38751.67841746032,1.887201506178826e-11,5031.821103850695,1.2207124200358521e-11
2025-02-15,16477.184556928416,0.0,0.0,4.492204830341961e-11,16477.18455692846,38402.22028027631,38402.22028027631,1.4704681916555273e-11,4908.5701798304135,7.016609515630989e-12
2025-02-16,56146.49866695929,0.0,0.0,100.24939916675005,56246.748066126034,82305.62384761905,82305.62384761905,19.151666666686644,2620.351647734002,8.924416761146858e-12
2025-02-17,55307.612600331355,0.0,0.0,6.124710782984266e-11,55307.61260033141,81942.0113489712,81942.0113489712,1.5929479957321746e-11,6546.062511865984,8.210321311707958e-12
2025-02-18,54341.552009499144,0.0,0.0,7.452189976220324e-11,54341.552009499224,81275.24985173428,81275.24985173428,1.9980461729574017e-11,5109.574096942997,1.1688428003253648e-11
2025-02-19,53978.530983933655,0.0,0.0,14.654190833386563,53993.185174767044,80938.56074800118,80938.56074800118,2.7383333333476187,3543.8143692478116,8.348877145181177e-12
2025-02-20,53647.97114149637,0.0,0.0,173.0337911750453,53821.00493267142,80179.63845419047,80179.63845419047,30.841064285724336,5203.293828676082,3.751665644813329e-12
2025-02-21,15687.448299216669,0.0,0.0,3.262186254460176e-11,15687.4482992167,37228.28205238096,37228.28205238096,1.0892620139202336e-11,7898.349401263978,5.6346038945775945e-12
2025-02-22,15785.187376602944,0.0,0.0,5.277370607181808e-11,15785.187376602998,37130.93893036449,37130.93893036449,1.9163781672659752e-11,5277.444097685209,1.1851852832478471e-11
2025-02-23,52918.77950451105,0.0,0.0,5.155725890659824e-11,52918.7795045111,79466.003459612,79466.003459612,1.3573586699067164e-11,3622.142666555858,7.4416028894575e-12
2025-02-24,52102.26678064653,0.0,0.0,221.05772528457575,52323.324505931116,78664.10230207408,78664.10230207408,43.387097619060725,6275.494662591137,7.44293515708705e-12
2025-02-25,51210.197086278036,0.0,0.0,108.90684404766337,51319.1039303257,78538.89071130953,78538.89071130953,21.22113095239297,8784.670047913009,7.844391802791506e-12
2025-02-26,51345.96938386436,0.0,0.0,6.616373759982252e-11,51345.96938386442,78291.82816937097,78291.82816937097,1.766231605415669e-11,4981.285606928887,1.0187406473960436e-11
2025-02-27,49079.44091268024,0.0,0.0,175.2351544180472,49254.67606709829,76975.08610793651,76975.08610793651,32.68002342858212,5584.1691538213,4.860112312599085e-12
2025-02-28,14637.17179866,0.0,0.0,4.418922117110924e-11,14637.171798660045,35913.70659761904,35913.70659761904,1.4551915228366852e-11,8981.724384332763,9.43600753089413e-12
2025-03-01,14813.595897731582,0.0,0.0,3.8580709293967175e-11,14813.595897731622,35757.93879670782,35757.93879670782,1.2216005984555522e-11,8539.732683407128,6.224354365258478e-12
2025-03-02,49792.046541151816,0.0,0.0,13643.824064683415,63435.870605835225,76231.3888243974,76231.3888243974,2191.600030785733,1976.3742012345863,9.118039656641486e-12
2025-03-03,50273.88067342971,0.0,0.0,8160.4851051951255,58434.36577862484,76917.75305182245,76917.75305182245,1326.656705761918,1536.4679230608633,7.757128273055969e-12
2025-03-04,51349.70819360893,0.0,0.0,6.246064321313583e-11,51349.708193608996,78237.32159288654,78237.32159288654,1.47128975669375e-11,4878.823173897723,9.96647209206003e-12
2025-03-05,50973.043671179046,0.0,0.0,4.474903647633255e-11,50973.04367117909,79229.43871428572,79229.43871428572,9.65094670846156e-12,9083.029934014707,5.409006575973763e-12
2025-03-06,50818.24765447564,0.0,0.0,5.945896219827773e-11,50818.247654475694,78764.36046287479,78764.36046287479,1.4850343177386094e-11,9079.563837536756,8.01492205937393e-12
2025-03-07,14419.657561509523,0.0,0.0,4.111402773787631e-11,14419.657561509566,35335.67580079366,35335.67580079366,1.5266010677805752e-11,11114.645324124649,1.0164313835048233e-11
2025-03-08,13928.796802643341,0.0,0.0,3.0362627967406296e-11,13928.796802643368,33720.177040329225,33720.177040329225,1.0203393685515039e-11,11004.133545529116,4.746425474877469e-12
2025-03-09,48175.80225871739,0.0,0.0,3.95580928014283e-11,48175.80225871743,76364.38170179306,76364.38170179306,1.1127099242003169e-11,8586.913291077022,6.281197784119286e-12
2025-03-10,48829.739848928584,0.0,0.0,6.557947251906172e-11,48829.73984892865,74934.35764907289,74934.35764907289,1.6989076812023995e-11,2448.364887125241,1.0054179711005418e-11
2025-03-11,47376.43201939239,0.0,0.0,6.995766188566678e-11,47376.43201939246,74728.83852602585,74728.83852602585,1.800337656732154e-11,6500.328253541176,6.970424237806583e-12
2025-03-12,46364.6925710372,0.0,0.0,6.381776462838217e-11,46364.69257103727,73748.87294174015,73748.87294174015,1.7059686996390155e-11,7402.857688417125,8.820943975251794e-12
2025-03-13,46616.269578629624,0.0,0.0,1548.9582735878428,48165.227852217475,72945.45877671956,72945.45877671956,240.85807395239846,1273.1280499412305,8.775868920452012e-12
2025-03-14,12950.020185945843,0.0,0.0,3.7283124143527856e-11,12950.02018594588,32320.845665461493,32320.845665461493,1.2843059948863811e-11,12850.698487754864,7.357670028795837e-12
2025-03-15,13628.708672778439,0.0,0.0,3.450957208883665e-11,13628.708672778474,33146.82895164609,33146.82895164609,1.184474740512087e-11,8453.015020175208,6.778577699151356e-12
2025-03-16,45793.44436795963,0.0,0.0,8.081100000056832,45801.5254679597,73069.19371895326,73069.19371895326,1.6400000000141564,5642.415624414186,5.52979884105298e-12
2025-03-17,44596.96609311241,0.0,0.0,5.861519936090076e-11,44596.96609311247,73015.12944364932,73015.12944364932,1.5442758183326077e-11,11419.430083938289,8.15703060652595e-12
2025-03-18,44088.365723585346,0.0,0.0,4.205680870228434e-11,44088.36572358539,71199.52444433392,71199.52444433392,1.0379253012615663e-11,5903.527027630818,4.5350390109888394e-12
2025-03-19,43994.01824020716,0.0,0.0,3.836854745031815e-11,43994.018240207195,71907.96144588476,71907.96144588476,9.28679355638451e-12,8183.26046676662,4.433786671143025e-12
2025-03-20,44628.429715730956,0.0,0.0,5.767358146613333e-11,44628.42971573101,71358.57482011904,71358.57482011904,1.532995952402416e-11,5268.580615226352,9.048761739904876e-12
2025-03-21,12922.173911901667,0.0,0.0,2.8749056468768684e-11,12922.173911901697,32326.254152380952,32326.254152380952,1.0533796057643485e-11,16423.864627328938,6.892264536872972e-12
2025-03-22,13436.533822504734,0.0,0.0,3.5081718863239076e-11,13436.53382250477,32634.74828497943,32634.74828497943,1.3892886840949359e-11,13211.132110409191,9.459100169806334e-12
2025-03-23,42236.981832360965,0.0,0.0,4.128257558022596e-11,42236.981832361,69226.27644024104,69226.27644024104,1.2136069926782511e-11,6497.266298353924,7.219114195322618e-12
2025-03-24,42066.41341426263,0.0,0.0,5.4154458695165886e-11,42066.413414262686,68668.11539591418,68668.11539591418,1.2938983218191424e-11,6508.619692063515,5.5138116294983774e-12
2025-03-25,42003.48594827873,0.0,0.0,3.5905330264540684e-11,42003.48594827876,68290.33134097588,68290.33134097588,1.127631321651279e-11,3171.2341031158257,6.515676886920119e-12
2025-03-26,41381.78275234101,0.0,0.0,3.817569549369182e-11,41381.78275234105,68618.03490020576,68618.03490020576,1.0693668173189508e-11,8884.762565993258,5.6274984672199935e-12
2025-03-27,41256.98968663372,0.0,0.0,7.099081233974402e-11,41256.989686633795,68044.84891234568,68044.84891234568,1.674216321134736e-11,5532.813265843643,7.94386778579792e-12
2025-03-28,12675.465097968096,0.0,0.0,2.0786558252439135e-11,12675.465097968117,31811.950911904765,31811.950911904765,8.753886504564434e-12,17363.808957506186,5.229594535194337e-12
2025-03-29,12413.71910244357,0.0,0.0,4.679900555970562e-11,12413.719102443618,31577.903445238095,31577.903445238095,1.4352963262354024e-11,20157.14706276839,6.0040861171728466e-12
2025-03-30,39531.36760553474,0.0,0.0,4.840304690389985e-11,39531.36760553478,66325.97794559083,66325.97794559083,1.2430945162122953e-11,6976.367702872147,4.853006885241484e-12
2025-03-31,39286.97467747721,0.0,0.0,7.401763468806167e-11,39286.97467747728,65112.07337386832,65112.07337386832,2.1536550320888637e-11,4408.439217075569,1.4779288903810084e-11
2025-04-01,40768.82978365089,0.0,0.0,7.776286636840268e-11,40768.82978365096,65719.03852483834,65719.03852483834,2.241051788587356e-11,1601.5335585661614,1.2882139799330616e-11
2025-04-02,39903.054628702936,0.0,0.0,6424.453038666728,46327.507667369675,65792.28025684891,65792.28025684891,1203.6136000000151,2422.4886576719737,1.0981437981172348e-11
2025-04-03,40505.45002858355,0.0,0.0,4.583235124755447e-11,40505.45002858359,67015.21395752499,67015.21395752499,1.3727685654885136e-11,7195.8775183715625,7.787548383930698e-12
2025-04-04,11904.950806972593,0.0,0.0,3.617380883724764e-11,11904.950806972629,30662.580716078777,30662.580716078777,1.2398970739013748e-11,20896.49591167697,7.581490990560269e-12
2025-04-05,12246.536319549308,0.0,0.0,2.8967164666937603e-11,12246.536319549337,30893.350228806587,30893.350228806587,1.0603073974380095e-11,15490.297538814535,5.81401593535702e-12
2025-04-06,40326.39085703746,0.0,0.0,4.901140471247345e-11,40326.39085703751,66947.86530355673,66947.86530355673,1.4509282664221246e-11,8702.674264342168,8.86757334228605e-12
2025-04-07,39222.78299537634,0.0,0.0,5.2768541536352136e-11,39222.7829953764,65969.23227301586,65969.23227301586,1.4125589586910792e-11,8995.199879110245,7.560174708487466e-12
2025-04-08,39337.16999218194,0.0,0.0,5.826153728905047e-11,39337.169992181996,65947.1679706937,65947.1679706937,1.4240775225715652e-11,7754.171208012658,6.3806737671257e-12
2025-04-09,39328.01570540328,0.0,0.0,5.621268428512849e-11,39328.01570540333,65466.16154153439,65466.16154153439,1.482192146795569e-11,2430.1663572604484,9.79127889877418e-12
2025-04-10,39141.65199805607,0.0,0.0,6.794038931445812e-11,39141.65199805614,66213.00184973545,66213.00184973545,1.7648105199441488e-11,7556.246197795439,9.627854069549358e-12
2025-04-11,11680.108927732144,0.0,0.0,3.040333851345167e-11,11680.108927732173,29655.240595238098,29655.240595238098,1.0395240224170266e-11,21201.366441353333,6.465938895416912e-12
2025-04-12,11846.846336850816,0.0,0.0,3.490070810130419e-11,11846.846336850851,30436.34672730747,30436.34672730747,1.2022383089060895e-11,18218.2315261611,6.59383658785373e-12
2025-04-13,38364.262914309555,0.0,0.0,5.1086143315615116e-11,38364.262914309606,63884.172443885946,63884.172443885946,1.3139711541043653e-11,5676.9661791299395,7.077005648170598e-12
2025-04-14,37398.029214072856,0.0,0.0,5.038495132225762e-11,37398.0292140729,63638.11220681952,63638.11220681952,1.6008527836675057e-11,7298.241516872444,1.084998757505673e-11
2025-04-15,37508.95886820143,0.0,0.0,4.003191644841309e-11,37508.95886820147,64413.62204221047,64413.62204221047,1.1640466368589841e-11,10630.98355503646,7.098321930243401e-12
2025-04-16,38180.49150958232,0.0,0.0,4.731857500273051e-11,38180.49150958238,63257.65938497943,63257.65938497943,1.386207815201601e-11,3785.42759202089,1.070965538474411e-11
