date,baseline_cost_yuan,candidate_cost_yuan,saving_yuan,baseline_emergency_kwh,candidate_emergency_kwh,baseline_spill_kwh,candidate_spill_kwh,baseline_ending_inventory_kwh,candidate_ending_inventory_kwh
2025-02-01,25061.315363129674,25061.315363129674,0.0,9.467981954003335e-12,9.467981954003335e-12,3651.0081778535973,3651.0081778535973,9248.97492943919,9248.97492943919
2025-02-02,56495.873248289776,56495.873248289776,0.0,1.4143353155304794e-11,1.4143353155304794e-11,3557.134648994406,3557.134648994406,8732.975632220998,8732.975632220998
2025-02-03,56960.26660804189,56960.26660804189,0.0,2.134470378223341e-11,2.134470378223341e-11,2317.040866582759,2317.040866582759,8263.487496542237,8263.487496542237
2025-02-04,59582.60426851739,59582.60426851739,0.0,1.482192146795569e-11,1.482192146795569e-11,3549.932190635047,3549.932190635047,8820.085631671673,8820.085631671673
2025-02-05,55603.63605770032,55603.63605770032,0.0,2.3848922836577913e-11,2.3848922836577913e-11,1374.3144763632627,1374.3144763632627,8135.256149707709,8135.256149707709
2025-02-06,57654.05122056157,57654.05122056157,0.0,6.968953697102819,6.968953697102819,1298.6879561541969,1298.6879561541969,8691.366614410634,8691.366614410634
2025-02-07,22871.05320393016,22871.05320393016,0.0,8.640199666842818e-12,8.640199666842818e-12,5966.268557920081,5966.268557920081,8126.276850002676,8126.276850002676
2025-02-08,19873.440848164704,19873.440848164704,0.0,1.7131185359176015e-11,1.7131185359176015e-11,1769.0601164841905,1769.0601164841905,8389.905759571811,8389.905759571811
2025-02-09,55363.63556396292,55363.63556396292,0.0,1.922728642966831e-11,1.922728642966831e-11,2093.2973329902666,2093.2973329902666,8500.43737666007,8500.43737666007
2025-02-10,52009.803301689695,52009.803301689695,0.0,1.9689583297122226e-11,1.9689583297122226e-11,1213.6863423632183,1213.6863423632183,8366.359661482134,8366.359661482134
2025-02-11,52428.21839275008,52428.21839275008,0.0,203.21954636308513,203.21954636308513,269.8970269065534,269.8970269065534,8593.249562433824,8593.249562433824
2025-02-12,51545.361681042166,51545.361681042166,0.0,31.739700803122453,31.739700803122453,759.5253278656977,759.5253278656977,8175.621894058389,8175.621894058389
2025-02-13,49700.93043904001,49700.93043904001,0.0,30.41361927249679,30.41361927249679,1848.9942071654746,1848.9942071654746,7812.007820473991,7812.007820473991
2025-02-14,19676.151243743123,19676.151243743123,0.0,1.404032445861958e-11,1.404032445861958e-11,3604.5083027122055,3604.5083027122055,7712.040256661698,7712.040256661698
2025-02-15,19643.138072344067,19643.138072344067,0.0,9.86233317235019e-12,9.86233317235019e-12,3808.3162011450017,3808.3162011450017,7976.409740128753,7976.409740128753
2025-02-16,52827.69962066136,52827.69962066136,0.0,49.73997630183367,49.73997630183367,18.858161543679017,18.858161543679017,8048.04991620334,8048.04991620334
2025-02-17,50723.97035064979,50723.97035064979,0.0,82.5785940997572,82.5785940997572,759.6867914908198,759.6867914908198,8030.751784985411,8030.751784985411
2025-02-18,48787.14184939653,48787.14184939653,0.0,8.248333333364709,8.248333333364709,841.8488028789402,841.8488028789402,8404.033535983794,8404.033535983794
2025-02-19,49470.13823559152,49470.13823559152,0.0,46.99928988829049,46.99928988829049,925.5895632880969,925.5895632880969,7768.925119320972,7768.925119320972
2025-02-20,48450.46698809857,48450.46698809857,0.0,33.09849407409459,33.09849407409459,1236.6094138997635,1236.6094138997635,7072.243497070292,7072.243497070292
2025-02-21,18187.908816999236,18187.908816999236,0.0,9.038103598868474e-12,9.038103598868474e-12,5961.613056678775,5961.613056678775,6926.137618823075,6926.137618823075
2025-02-22,19269.678005565773,19269.678005565773,0.0,1.0402345651527867e-11,1.0402345651527867e-11,3671.0874323360513,3671.0874323360513,8503.876640148848,8503.876640148848
2025-02-23,48360.87115831193,48360.87115831193,0.0,16.92155707396041,16.92155707396041,742.8675216199421,742.8675216199421,7969.163603132273,7969.163603132273
2025-02-24,46997.46483165723,46997.46483165723,0.0,55.26621666668639,55.26621666668639,1326.599462779356,1326.599462779356,8349.13708620013,8349.13708620013
2025-02-25,47001.27150807952,47001.27150807952,0.0,31.095000000014423,31.095000000014423,2239.6698163234255,2239.6698163234255,7951.586549377851,7951.586549377851
2025-02-26,46561.51402211211,46561.51402211211,0.0,1.4349410548675223e-11,1.4349410548675223e-11,903.6603602950535,903.6603602950535,8700.283961745712,8700.283961745712
2025-02-27,44437.06555062451,44437.06555062451,0.0,2.2708945834892802e-11,2.2708945834892802e-11,302.79171359253627,302.79171359253627,6617.097539372731,6617.097539372731
