日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,08:00-08:10,6.96895369708227
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,06:00-06:10,0.8587525481933653
2025-02-11,10:10-10:40,182.84106035229
2025-02-11,21:20-21:40,19.519733462580575
2025-02-12,06:20-06:30,31.73970080309789
2025-02-13,06:20-06:30,14.494689746174345
2025-02-13,20:50-21:00,15.918929526304737
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,05:50-06:00,5.013402828749463
2025-02-16,16:50-17:00,2.0735635279103235
2025-02-16,17:10-17:20,14.029902257229082
2025-02-16,17:30-17:50,28.62310768792554
2025-02-17,17:00-17:10,1.0277204382042555
2025-02-17,17:20-17:30,2.2904269744242356
2025-02-17,20:10-20:50,79.26044668710801
2025-02-18,05:50-06:00,8.248333333334244
2025-02-19,06:20-06:30,46.99928988826855
2025-02-20,06:00-06:10,33.09849407407455
2025-02-21,无,0.0
2025-02-22,无,0.0
2025-02-23,06:00-06:20,16.921557073941585
2025-02-24,06:00-06:20,55.26621666666699
2025-02-25,06:20-06:30,31.0949999999998
2025-02-26,无,0.0
2025-02-27,无,0.0
2025-02-28,无,0.0
2025-03-01,无,0.0
2025-03-02,无,0.0
2025-03-03,无,0.0
2025-03-04,17:20-17:40,51.26467301712535
2025-03-05,06:00-06:10,3.3316333333340253
2025-03-05,15:30-15:50,150.08575666292222
2025-03-05,16:30-16:40,24.686833821594064
2025-03-05,17:10-17:20,8.52718637174587
2025-03-05,17:30-17:40,0.9521509192236408
2025-03-05,20:30-20:50,45.2421968257587
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,无,0.0
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,20:10-20:20,29.183902612205202
2025-03-13,20:30-20:50,70.67168333333325
2025-03-14,07:40-07:50,0.7818500000000022
2025-03-15,21:10-21:30,13.155165293651237
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,09:20-10:00,129.91646423640614
2025-03-21,无,0.0
2025-03-22,无,0.0
2025-03-23,20:30-20:50,77.77951078068304
2025-03-24,无,0.0
2025-03-25,无,0.0
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,无,0.0
2025-04-02,无,0.0
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,20:50-21:00,13.345418318250267
2025-04-06,21:20-21:50,80.20566498376002
2025-04-07,无,0.0
2025-04-08,21:10-21:30,21.55403900748547
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,17:20-17:40,35.63447584474284
2025-04-14,20:30-20:50,103.71186120330105
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,无,0.0
2025-04-27,16:50-17:30,223.30528307528675
2025-04-27,21:10-21:20,1.1734552226382675
2025-04-28,无,0.0
2025-04-29,无,0.0
2025-04-30,无,0.0
2025-05-01,20:10-21:30,1117.8887065435533
2025-05-01,21:50-22:00,44.152422114114415
2025-05-02,20:10-22:00,1108.787809289201
2025-05-03,20:40-20:50,428.5555911512165
2025-05-03,21:00-21:50,644.9472693900591
2025-05-04,20:10-21:50,859.8062683860766
2025-05-05,20:10-21:20,703.6039778141434
2025-05-06,20:10-21:50,873.2576865207069
2025-05-07,20:10-20:50,668.680891642525
2025-05-07,21:10-21:50,243.2161861681068
2025-05-08,20:00-20:10,6.284290117083401
2025-05-09,无,0.0
2025-05-10,无,0.0
2025-05-11,19:20-19:30,3.803747063217429
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,06:50-07:10,41.70626666666665
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,20:20-20:30,45.478655493662586
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,无,0.0
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,无,0.0
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,无,0.0
2025-05-30,无,0.0
2025-05-31,无,0.0
2025-06-01,15:20-17:30,1094.3237941450525
2025-06-01,17:40-18:00,36.264055651349395
2025-06-01,18:50-19:10,44.18230507656665
2025-06-01,19:20-19:30,2.7016167513854725
2025-06-01,19:50-20:10,49.568099443681604
2025-06-01,20:20-20:40,177.31334233320024
2025-06-01,21:00-21:50,99.25775525626818
2025-06-02,04:10-04:50,114.48929121986089
2025-06-02,16:00-18:00,855.470382527914
2025-06-02,19:20-19:30,58.82915587537968
2025-06-02,19:50-20:00,41.46915587537967
2025-06-02,20:30-20:40,24.238510895778404
2025-06-02,21:00-21:50,200.04696222392874
2025-06-03,17:20-17:50,310.6781396008936
2025-06-03,19:30-19:50,46.99171526619966
2025-06-03,20:40-21:10,86.01309441100238
2025-06-03,21:20-21:50,168.84858746210773
2025-06-04,05:00-05:10,15.728485296114286
2025-06-04,05:20-05:40,81.8413641082501
2025-06-04,20:20-21:40,368.4615372909757
2025-06-05,15:40-15:50,122.89817402412876
2025-06-05,16:50-17:20,149.29913339356688
2025-06-05,17:30-17:50,57.23474816726616
2025-06-05,18:50-19:10,87.21502301517216
2025-06-05,19:50-20:10,56.58900763694771
2025-06-05,20:30-21:00,167.35847690495336
2025-06-05,21:20-22:00,91.9592413814795
2025-06-06,03:50-04:20,21.2619717155668
2025-06-06,04:30-04:50,15.716430335884866
2025-06-06,05:20-05:40,74.13937037593917
2025-06-06,17:10-17:30,117.56315169380628
2025-06-06,17:40-18:00,95.62382521158327
2025-06-06,20:20-20:40,283.1120143890376
2025-06-06,21:00-21:20,146.7892518247828
2025-06-06,21:30-22:00,213.3302494022281
2025-06-07,17:40-17:50,21.70342622315235
2025-06-07,20:10-20:40,278.23363200736105
2025-06-07,21:10-21:50,179.79669950477694
2025-06-08,无,0.0
2025-06-09,18:50-19:00,4.571145669652424
2025-06-10,20:00-20:10,19.651722984848107
2025-06-11,无,0.0
2025-06-12,无,0.0
