endpoint,kind,date,original_bill,alternative_bill_same_trajectory,bill_increase,no_return_shadow_policy_bill
free,q2,2025-02-01,24719.059512919477,24719.059512919477,0.0,24719.059512919477
free,q2,2025-02-02,57257.918170130564,57257.918170130564,0.0,57257.918170130564
free,q2,2025-02-03,56025.30456404348,56025.30456404348,0.0,56025.30456404348
free,q2,2025-02-04,55851.80305681804,55851.80305681804,0.0,55851.80305681804
free,q2,2025-02-05,55099.2417147477,55099.2417147477,0.0,55099.2417147477
free,q2,2025-02-06,57163.206316065145,57163.206316065145,0.0,57163.206316065145
free,q2,2025-02-07,22281.8241824595,22281.8241824595,0.0,22281.8241824595
free,q2,2025-02-08,20369.71350255766,20369.71350255766,0.0,20369.71350255766
free,q2,2025-02-09,55484.55958769821,55484.55958769821,0.0,55484.55958769821
free,q2,2025-02-10,54105.51664430571,54105.51664430571,0.0,54105.51664430571
free,q2,2025-02-11,53232.23367924897,53232.23367924897,0.0,53232.23367924897
free,q2,2025-02-12,52711.32753286449,52711.32753286449,0.0,52711.32753286449
free,q2,2025-02-13,51400.68082699117,51400.68082699117,0.0,51400.68082699117
free,q2,2025-02-14,18959.408955718023,18959.408955718023,0.0,18959.408955718023
free,q2,2025-02-15,19152.29889324467,19152.29889324467,0.0,19152.29889324467
free,q2,2025-02-16,50429.013652966554,50429.013652966554,0.0,50429.013652966554
free,q2,2025-02-17,50008.94360664979,50008.94360664979,0.0,50008.94360664979
free,q2,2025-02-18,48645.0455784913,48645.0455784913,0.0,48645.0455784913
free,q2,2025-02-19,48314.5375675854,48314.5375675854,0.0,48314.5375675854
free,q2,2025-02-20,48626.97976061047,48626.97976061047,0.0,48626.97976061047
free,q2,2025-02-21,18085.198467765673,18085.198467765673,0.0,18085.198467765673
free,q2,2025-02-22,19070.198847308955,19070.198847308955,0.0,19070.198847308955
free,q2,2025-02-23,47242.84867587064,47242.84867587064,0.0,47242.84867587064
free,q2,2025-02-24,48116.1744931461,48116.1744931461,0.0,48116.1744931461
free,q2,2025-02-25,46906.2152252604,46906.2152252604,0.0,46906.2152252604
free,q2,2025-02-26,46980.99599641771,46980.99599641771,0.0,46980.99599641771
free,q2,2025-02-27,44012.805949557485,44012.805949557485,0.0,44012.805949557485
free,q2,2025-02-28,17501.731991662513,17501.731991662513,0.0,17501.731991662513
free,q2,2025-03-01,18532.020735386366,18532.020735386366,0.0,18532.020735386366
free,q2,2025-03-02,60674.49514847352,60674.49514847352,0.0,60674.49514847352
free,q2,2025-03-03,55861.49854121808,55861.49854121808,0.0,55861.49854121808
free,q2,2025-03-04,46159.90630114573,46159.90630114573,0.0,46159.90630114573
free,q2,2025-03-05,47637.23019302447,47637.23019302447,0.0,47637.23019302447
free,q2,2025-03-06,46406.15173943514,46406.15173943514,0.0,46406.15173943514
free,q2,2025-03-07,16786.1002490937,16786.1002490937,0.0,16786.1002490937
free,q2,2025-03-08,18187.000987933734,18187.000987933734,0.0,18187.000987933734
free,q2,2025-03-09,44909.64680571543,44909.64680571543,0.0,44909.64680571543
free,q2,2025-03-10,45867.983496164845,45867.983496164845,0.0,45867.983496164845
free,q2,2025-03-11,43679.63527249769,43679.63527249769,0.0,43679.63527249769
free,q2,2025-03-12,43286.46476273553,43286.46476273553,0.0,43286.46476273553
free,q2,2025-03-13,48419.40241048546,48419.40241048546,0.0,48419.40241048546
free,q2,2025-03-14,15816.38410959101,15816.38410959101,0.0,15816.38410959101
free,q2,2025-03-15,17614.98536692784,17614.98536692784,0.0,17614.98536692784
free,q2,2025-03-16,42517.783638549896,42517.783638549896,0.0,42517.783638549896
free,q2,2025-03-17,43112.27227060588,43112.27227060588,0.0,43112.27227060588
free,q2,2025-03-18,41636.99534776772,41636.99534776772,0.0,41636.99534776772
free,q2,2025-03-19,40942.389532472385,40942.389532472385,0.0,40942.389532472385
free,q2,2025-03-20,40779.74321101731,40779.74321101731,0.0,40779.74321101731
free,q2,2025-03-21,15841.910252134587,15841.910252134587,0.0,15841.910252134587
free,q2,2025-03-22,17888.65449778607,17888.65449778607,0.0,17888.65449778607
free,q2,2025-03-23,40550.20779688722,40550.20779688722,0.0,40550.20779688722
free,q2,2025-03-24,39482.72147737141,39482.72147737141,0.0,39482.72147737141
free,q2,2025-03-25,39968.043273421266,39968.043273421266,0.0,39968.043273421266
free,q2,2025-03-26,39690.787258559794,39690.787258559794,0.0,39690.787258559794
free,q2,2025-03-27,37929.00056874957,37929.00056874957,0.0,37929.00056874957
free,q2,2025-03-28,15120.176906789176,15120.176906789176,0.0,15120.176906789176
free,q2,2025-03-29,16737.191985536378,16737.191985536378,0.0,16737.191985536378
free,q2,2025-03-30,38685.979786102296,38685.979786102296,0.0,38685.979786102296
free,q2,2025-03-31,37738.5252483954,37738.5252483954,0.0,37738.5252483954
free,q2,2025-04-01,41577.37702142737,41577.37702142737,0.0,41577.37702142737
free,q2,2025-04-02,47003.76215615,47003.76215615,0.0,47003.76215615
free,q2,2025-04-03,36840.04989408123,36840.04989408123,0.0,36840.04989408123
free,q2,2025-04-04,14448.815752868337,14448.815752868337,0.0,14448.815752868337
free,q2,2025-04-05,16757.187360393604,16757.187360393604,0.0,16757.187360393604
free,q2,2025-04-06,36565.060108309124,36565.060108309124,0.0,36565.060108309124
free,q2,2025-04-07,38125.678442803866,38125.678442803866,0.0,38125.678442803866
free,q2,2025-04-08,38575.001285286315,38575.001285286315,0.0,38575.001285286315
free,q2,2025-04-09,39919.50773766921,39919.50773766921,0.0,39919.50773766921
free,q2,2025-04-10,33983.77926356063,33983.77926356063,0.0,33983.77926356063
free,q2,2025-04-11,13625.721805853309,13625.721805853309,0.0,13625.721805853309
free,q2,2025-04-12,16646.43077495769,16646.43077495769,0.0,16646.43077495769
free,q2,2025-04-13,36839.2793419422,36839.2793419422,0.0,36839.2793419422
free,q2,2025-04-14,36030.072738770235,36030.072738770235,0.0,36030.072738770235
free,q2,2025-04-15,36216.075701875074,36216.075701875074,0.0,36216.075701875074
free,q2,2025-04-16,37088.74831801445,37088.74831801445,0.0,37088.74831801445
free,q2,2025-04-17,33457.91804998458,33457.91804998458,0.0,33457.91804998458
free,q2,2025-04-18,13377.376648395935,13377.376648395935,0.0,13377.376648395935
free,q2,2025-04-19,15793.384073425994,15793.384073425994,0.0,15793.384073425994
free,q2,2025-04-20,35876.74575058404,35876.74575058404,0.0,35876.74575058404
free,q2,2025-04-21,35677.689022294,35677.689022294,0.0,35677.689022294
free,q2,2025-04-22,34867.096488941424,34867.096488941424,0.0,34867.096488941424
free,q2,2025-04-23,35269.79249434204,35269.79249434204,0.0,35269.79249434204
free,q2,2025-04-24,31920.570602299933,31920.570602299933,0.0,31920.570602299933
free,q2,2025-04-25,12559.141097736861,12559.141097736861,0.0,12559.141097736861
free,q2,2025-04-26,18405.672619189296,18405.672619189296,0.0,18405.672619189296
free,q2,2025-04-27,37394.01132472495,37394.01132472495,0.0,37394.01132472495
free,q2,2025-04-28,50473.9658035114,50473.9658035114,0.0,50473.9658035114
free,q2,2025-04-29,34638.23119445748,34638.23119445748,0.0,34638.23119445748
free,q2,2025-04-30,35428.77378835276,35428.77378835276,0.0,35428.77378835276
free,q2,2025-05-01,41088.41821394526,41088.41821394526,0.0,41088.41821394526
free,q2,2025-05-02,26413.882016618256,26413.882016618256,0.0,26413.882016618256
free,q2,2025-05-03,22141.548352964805,22141.548352964805,0.0,22141.548352964805
free,q2,2025-05-04,43545.569698058076,43545.569698058076,0.0,43545.569698058076
free,q2,2025-05-05,43732.95150548586,43732.95150548586,0.0,43732.95150548586
free,q2,2025-05-06,41638.52226631572,41638.52226631572,0.0,41638.52226631572
