kind,usable_width_kwh,date,total_cost_yuan,planned_cost_yuan,increase_cost_yuan,reduction_net_cost_yuan,emergency_cost_yuan
q2,0,2025-02-01,38180.42462687053,37227.672924301485,0.0,0.0,952.7517025690429
q2,0,2025-02-02,71038.6007877269,70464.8092030281,0.0,0.0,573.7915846987975
q2,0,2025-02-03,70288.35721718946,68911.93460532876,0.0,0.0,1376.4226118607066
q2,0,2025-02-04,74273.46977525523,68103.63567030049,0.0,0.0,6169.834104954754
q2,0,2025-02-05,70499.38651530241,67458.04501858809,0.0,0.0,3041.34149671432
q2,0,2025-02-06,70410.84214553834,69374.5121905169,0.0,0.0,1036.3299550214278
q2,0,2025-02-07,38076.66302725929,36296.76170596166,0.0,0.0,1779.901321297624
q2,0,2025-02-08,36417.09857972777,34437.94131129324,0.0,0.0,1979.157268434522
q2,0,2025-02-09,71753.11422053484,64623.6593603635,0.0,0.0,7129.454860171342
q2,0,2025-02-10,67234.64823883734,65975.0930019302,0.0,0.0,1259.5552369071431
q2,0,2025-02-11,66182.39476595215,64850.923547444996,0.0,0.0,1331.471218507141
q2,0,2025-02-12,66908.63453490235,64547.59444698451,0.0,0.0,2361.0400879178464
q2,0,2025-02-13,66059.2912511088,63706.87624913975,0.0,0.0,2352.415001969056
q2,0,2025-02-14,35424.23116044709,33360.41464986496,0.0,0.0,2063.816510582134
q2,0,2025-02-15,36106.79876941339,32830.704187051415,0.0,0.0,3276.09458236198
q2,0,2025-02-16,67282.5180035083,62003.76582913095,0.0,0.0,5278.752174377355
q2,0,2025-02-17,64008.35912065589,61839.58907912262,0.0,0.0,2168.7700415332756
q2,0,2025-02-18,63481.31631308167,61116.87432063167,0.0,0.0,2364.4419924499953
q2,0,2025-02-19,65658.42543823557,60622.81105711743,0.0,0.0,5035.614381118149
q2,0,2025-02-20,63457.19108589906,60841.6613564395,0.0,0.0,2615.5297294595507
q2,0,2025-02-21,33573.36236233429,32033.68180452,0.0,0.0,1539.6805578142867
q2,0,2025-02-22,34406.20794946285,32043.060649450952,0.0,0.0,2363.1473000119013
q2,0,2025-02-23,64295.56930175243,59743.80670368339,0.0,0.0,4551.762598069044
q2,0,2025-02-24,61846.494510421326,59735.16805733901,0.0,0.0,2111.326453082306
q2,0,2025-02-25,60732.85836291738,59277.74473967452,0.0,0.0,1455.1136232428626
q2,0,2025-02-26,62553.03930831476,59442.50875634926,0.0,0.0,3110.530551965487
q2,0,2025-02-27,62954.983775890476,57895.435031539295,0.0,0.0,5059.54874435119
q2,0,2025-02-28,32976.0105463892,31107.66074316303,0.0,0.0,1868.3498032261728
q2,0,2025-03-01,33725.551187029276,31167.344441534056,0.0,0.0,2558.206745495222
q2,0,2025-03-02,71444.96978816057,58156.04092401164,0.0,0.0,13288.928864148917
q2,0,2025-03-03,70458.4124144743,58007.25522750167,0.0,0.0,12451.157186972632
q2,0,2025-03-04,61555.800439795246,58503.06233676309,0.0,0.0,3052.7381030321485
q2,0,2025-03-05,61310.746251620934,60161.31115588043,0.0,0.0,1149.4350957405034
q2,0,2025-03-06,61391.30815513383,59626.00515541357,0.0,0.0,1765.3029997202545
q2,0,2025-03-07,31753.105288169758,30665.818553776902,0.0,0.0,1087.286734392856
q2,0,2025-03-08,31277.956921644745,29738.20922523036,0.0,0.0,1539.7476964143862
q2,0,2025-03-09,59260.121588709524,57484.14120052739,0.0,0.0,1775.9803881821372
q2,0,2025-03-10,59633.142564505935,56967.22349481786,0.0,0.0,2665.919069688085
q2,0,2025-03-11,59799.106591893804,55813.60763451169,0.0,0.0,3985.4989573821126
q2,0,2025-03-12,58137.77121103928,55731.19134280489,0.0,0.0,2406.579868234389
q2,0,2025-03-13,64994.83871767929,55300.24586061739,0.0,0.0,9694.592857061903
q2,0,2025-03-14,31075.195060495935,28779.289626359037,0.0,0.0,2295.9054341368974
q2,0,2025-03-15,31019.754163175727,28952.278247181664,0.0,0.0,2067.4759159940645
q2,0,2025-03-16,58621.07587616121,54997.55364865284,0.0,0.0,3623.5222275083606
q2,0,2025-03-17,56304.176525305986,54962.99081522727,0.0,0.0,1341.185710078722
q2,0,2025-03-18,60392.22727464639,53953.35638251073,0.0,0.0,6438.870892135665
q2,0,2025-03-19,56858.607106845484,53747.51380444072,0.0,0.0,3111.0933024047663
q2,0,2025-03-20,58122.56030039311,54033.781684762136,0.0,0.0,4088.778615630976
q2,0,2025-03-21,30755.42665782334,28357.537728394756,0.0,0.0,2397.888929428579
q2,0,2025-03-22,29876.097690867602,28870.391683028323,0.0,0.0,1005.7060078392741
q2,0,2025-03-23,56246.40713675,53467.05970912975,0.0,0.0,2779.3474276202405
q2,0,2025-03-24,56742.248831458804,52755.21984386358,0.0,0.0,3987.028987595228
q2,0,2025-03-25,58004.894864473616,52694.17046033275,0.0,0.0,5310.7244041408685
q2,0,2025-03-26,55056.38910673777,52876.46783976961,0.0,0.0,2179.9212669681665
q2,0,2025-03-27,54664.87030673801,52550.723232960314,0.0,0.0,2114.147073777703
q2,0,2025-03-28,29506.686733183524,27912.486754416896,0.0,0.0,1594.199978766627
q2,0,2025-03-29,29508.61204894641,27396.087646879718,0.0,0.0,2112.5244020666873
q2,0,2025-03-30,54375.27580021665,52173.25308786071,0.0,0.0,2202.0227123559443
q2,0,2025-03-31,54352.09226993642,51471.644580915,0.0,0.0,2880.4476890214105
q2,0,2025-04-01,54218.61465309026,51821.10076891405,0.0,0.0,2397.5138841762014
q2,0,2025-04-02,59395.312802947185,51113.92153696261,0.0,0.0,8281.391265984576
q2,0,2025-04-03,55238.08833773786,50846.049050886664,0.0,0.0,4392.039286851187
q2,0,2025-04-04,29306.881524710952,27189.957128474045,0.0,0.0,2116.924396236903
q2,0,2025-04-05,28710.193014591197,27431.469445367366,0.0,0.0,1278.723569223831
q2,0,2025-04-06,53546.42857323258,50195.973292352865,0.0,0.0,3350.4552808797234
q2,0,2025-04-07,52000.62656815191,50508.405930111454,0.0,0.0,1492.2206380404532
q2,0,2025-04-08,55839.28390407977,50993.66607063333,0.0,0.0,4845.617833446435
q2,0,2025-04-09,54725.615504065485,51311.71320581905,0.0,0.0,3413.902298246431
q2,0,2025-04-10,54740.47626073548,50671.83357004501,0.0,0.0,4068.6426906904735
q2,0,2025-04-11,29372.86098666382,26427.68821932218,0.0,0.0,2945.1727673416426
q2,0,2025-04-12,27607.582236430935,26857.93291472617,0.0,0.0,749.6493217047614
q2,0,2025-04-13,53583.48564386829,50137.64927311335,0.0,0.0,3445.8363707549433
q2,0,2025-04-14,51575.298659177206,49045.60059385693,0.0,0.0,2529.698065320272
q2,0,2025-04-15,51671.59439663428,49731.308160342625,0.0,0.0,1940.2862362916626
