kind,usable_width_kwh,total_cost_yuan,planned_cost_yuan,increase_cost_yuan,reduction_net_cost_yuan,emergency_cost_yuan,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,soc_min_kwh,soc_max_kwh,soc_mean_kwh,initial_kwh,final_kwh,maximum_power_kw,endpoint_sample_count,endpoint_hit_tolerance_kwh,lower_endpoint_hits,upper_endpoint_hits,lower_endpoint_hit_fraction,upper_endpoint_hit_fraction,saving_vs_W0_yuan,saving_vs_W4800_yuan,saving_vs_W9600_yuan
q2,0,18810253.812640335,17495750.90284906,0.0,0.0,1314502.9097912759,0.0,0.0,332038.60327142803,4759297.516311908,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,48096,1e-06,48096,48096,1.0,1.0,0.0,-3238845.71892944,-4966083.75078124
q2,4800,15571408.093710896,14884560.700092241,0.0,0.0,686847.3936186539,3937466.643536605,3189347.98126465,157191.76428803895,2893724.1059928862,3600.0,8400.0,6649.990019965337,6000.0,6000.0,5000.0000000000055,48096,1e-06,3027,5819,0.06293662674650699,0.12098719228210246,3238845.71892944,0.0,-1727238.0318518002
q2,9600,13844170.061859095,13197126.215670995,0.0,0.0,647043.8461881,6594627.849367576,5341648.557987737,151764.07688902435,2336748.172034976,1200.0,10800.0,7075.554453870563,6000.0,6000.0,5000.0000000000055,48096,1e-06,1891,4395,0.03931719893546241,0.09137974051896208,4966083.75078124,1727238.0318518002,0.0
q3,0,18641953.622674115,17591169.100890428,252751.89011949516,-201745.4907576794,999778.1224218679,0.0,0.0,263963.5773128915,4535423.588576435,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,48096,1e-06,48096,48096,1.0,1.0,0.0,-3417762.552202508,-5180111.271726247
q3,4800,15224191.070471607,15029114.486174911,245807.19760121155,-281229.4117961425,230498.79849162497,3969028.6698523136,3214913.2225803738,55773.50670065715,2417011.8558063298,3600.0,8400.0,6589.277658495119,6000.0,6000.0,5000.0000000000055,48096,1e-06,3218,4960,0.0669078509647372,0.10312707917498337,3417762.552202508,0.0,-1762348.719523739
q3,9600,13461842.350947868,13340682.098085783,252177.40668422976,-305683.33106812125,174666.17724597486,6624293.857392263,5365678.024487733,37821.56931429688,1738320.5163277145,1200.0,10800.0,7009.45339173423,6000.0,6000.0,5000.0000000000055,48096,1e-06,1858,3894,0.03863107119095143,0.08096307385229541,5180111.271726247,1762348.719523739,0.0
q4_2,0,19524691.691457063,18135676.5366705,0.0,0.0,1389015.1547865635,0.0,0.0,331292.301866666,4764029.859509526,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,48096,1e-06,48096,48096,1.0,1.0,0.0,-3139104.5912762973,-4870080.310218424
q4_2,4800,16385587.100180766,15671981.57159163,0.0,0.0,713605.5285891367,4778124.430273477,3870280.7885215166,152033.3475205944,2933978.6975800646,3600.0,8400.0,6400.4822653922365,6000.0,6000.0,5000.0000000000055,48096,1e-06,3137,5682,0.06522371922821024,0.11813872255489022,3139104.5912762973,0.0,-1730975.7189421263
q4_2,9600,14654611.38123864,13999788.76539036,0.0,0.0,654822.6158482771,7134930.8163627945,5779293.961253865,139989.689540283,2373217.7948921127,1200.0,10800.0,6633.925192894306,6000.0,6000.0,5000.0000000000055,48096,1e-06,1893,4546,0.03935878243512974,0.09451929474384564,4870080.310218424,1730975.7189421263,0.0
q4_3,0,19349811.654991493,18237749.042882442,329546.1746327367,-212801.88892811508,995318.3264044276,0.0,0.0,251310.53818210866,4573430.186225024,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,48096,1e-06,48096,48096,1.0,1.0,0.0,-3333237.363889545,-5097728.629592277
q4_3,4800,16016574.291101947,15804138.49568454,284309.77766009886,-304921.50467816123,233047.52243546842,4768488.893048272,3862476.0033691004,55716.31867138066,2459621.9278859147,3600.0,8400.0,6335.769725444167,6000.0,6000.0,5000.0000000000055,48096,1e-06,3352,5192,0.06969394544244843,0.10795076513639387,3333237.363889545,0.0,-1764491.265702732
q4_3,9600,14252083.025399216,14117677.518234555,287303.4413616986,-327716.22921499296,174818.29501795504,7151079.711476368,5792374.5662958585,37930.26846734787,1746588.1004165576,1200.0,10800.0,6542.720505831021,6000.0,6000.0,5000.0000000000055,48096,1e-06,1940,4185,0.04033599467731204,0.08701347305389222,5097728.629592277,1764491.265702732,0.0
