日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,08:00-08:10,10.33713715795102
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,12:30-12:40,105.56355788633282
2025-02-09,13:20-13:30,1.0507373177427652
2025-02-09,14:40-15:20,469.3571288394404
2025-02-09,15:30-15:40,277.25670965867135
2025-02-10,无,0.0
2025-02-11,20:50-21:00,25.87004471796945
2025-02-11,21:20-21:40,31.68413212321309
2025-02-12,无,0.0
2025-02-13,无,0.0
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,05:50-06:00,5.44875867021608
2025-02-16,20:30-20:40,30.18176169620358
2025-02-17,无,0.0
2025-02-18,无,0.0
2025-02-19,06:20-06:30,20.457591080900556
2025-02-19,10:00-10:30,156.4320647701675
2025-02-20,06:00-06:10,16.556753789504
2025-02-21,无,0.0
2025-02-22,无,0.0
2025-02-23,06:00-06:10,7.753445238099857
2025-02-24,06:00-06:10,24.23309928290371
2025-02-25,06:20-06:30,4.018919843226058
2025-02-26,无,0.0
2025-02-27,10:00-10:10,6.288287070658598
2025-02-28,08:00-08:10,18.653383333333373
2025-03-01,08:50-09:00,16.44333333333331
2025-03-02,12:30-12:50,77.21128693549576
2025-03-02,13:20-15:10,3009.402935696049
2025-03-02,15:30-15:40,24.55994638480894
2025-03-02,15:50-16:00,27.84023699085526
2025-03-02,16:20-16:40,78.9867170790086
2025-03-02,17:30-17:50,43.84481326962293
2025-03-02,18:50-19:00,20.61833333333368
2025-03-02,20:10-20:20,321.0793363570613
2025-03-02,20:40-21:00,46.88583348676161
2025-03-02,21:30-21:40,11.992512418741285
2025-03-03,10:00-10:30,265.44573475905474
2025-03-03,12:00-12:50,586.0522826988963
2025-03-03,13:50-14:00,67.02708333333324
2025-03-03,14:10-14:30,405.22440744861086
2025-03-03,14:50-16:40,1202.7095074926528
2025-03-03,19:00-19:20,148.6938181579227
2025-03-03,19:40-19:50,66.52595000000042
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,12:20-12:40,255.15473545691242
2025-03-11,18:00-18:10,2.672384644943236
2025-03-11,19:40-19:50,40.80975476190554
2025-03-12,无,0.0
2025-03-13,10:10-10:50,329.011678202822
2025-03-13,11:30-12:50,1073.446203538877
2025-03-13,13:30-13:40,21.42644999999993
2025-03-13,14:00-14:20,43.9397166666666
2025-03-13,15:00-15:10,269.5199304395468
2025-03-13,17:00-17:20,41.19722773475257
2025-03-13,19:40-20:10,40.37266723888581
2025-03-13,20:30-20:50,46.29713333333302
2025-03-14,无,0.0
2025-03-15,21:20-21:40,30.469557281509765
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,09:30-10:00,146.2583308713898
2025-03-18,12:00-12:30,140.64496638309612
2025-03-19,无,0.0
2025-03-20,16:00-16:40,215.8006935888318
2025-03-20,17:30-17:40,6.96836421523119
2025-03-21,07:20-07:40,79.10142820456979
2025-03-22,无,0.0
2025-03-23,无,0.0
2025-03-24,无,0.0
2025-03-25,12:00-12:30,146.85256063105118
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,07:40-07:50,60.33688333333341
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,12:30-12:40,102.64774136743657
2025-04-01,14:50-15:00,515.2199928565708
2025-04-01,15:50-16:30,315.13205741017833
2025-04-02,09:00-10:20,1036.6414630102063
2025-04-02,11:50-12:50,1148.8877846668568
2025-04-02,14:50-15:00,61.93967885704438
2025-04-03,无,0.0
2025-04-04,22:00-22:10,28.20724999999976
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,21:20-21:30,10.555107447780642
2025-04-09,14:50-15:00,78.96655624558021
2025-04-09,15:10-15:50,300.0635322099044
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,20:40-20:50,23.508658236186193
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,20:40-20:50,332.42199588435955
2025-04-26,21:00-21:20,3.5752074554769706
2025-04-26,21:30-21:50,225.54855638012734
2025-04-27,16:30-17:30,421.31730655049415
2025-04-27,19:40-19:50,43.443376613422174
2025-04-27,20:10-20:30,12.332911904760522
2025-04-27,20:40-20:50,204.56633180389997
2025-04-27,21:00-21:20,25.511470296171524
2025-04-28,11:40-12:50,2836.5500643210644
2025-04-28,14:50-16:20,3015.2724529690877
2025-04-29,20:20-20:40,90.20352364487871
2025-04-30,无,0.0
2025-05-01,18:40-18:50,42.38725603485727
2025-05-01,19:50-20:00,781.94
2025-05-01,20:20-21:30,727.1687541293528
2025-05-01,21:50-22:00,77.89459378855747
2025-05-01,22:30-22:50,215.0666565538446
2025-05-01,23:00-23:40,480.81398708795547
2025-05-02,06:40-07:30,316.25041848145065
2025-05-02,15:40-16:00,202.2228666666685
2025-05-02,16:10-17:30,769.2726214537997
2025-05-02,19:50-20:00,215.87600629888453
2025-05-02,20:30-22:00,1086.1094218584199
2025-05-03,20:10-20:20,288.25524999999817
2025-05-03,20:40-21:50,605.732066764199
2025-05-04,18:40-18:50,5.996949999999856
2025-05-04,19:20-19:40,63.38904384052455
2025-05-04,20:20-21:50,1016.5443779545725
2025-05-05,19:40-20:20,876.4764453823435
2025-05-05,20:30-21:30,266.41379409751517
2025-05-05,21:50-22:30,209.57050597793375
2025-05-06,08:10-09:50,867.144570987771
2025-05-06,19:40-20:00,130.64720827471263
2025-05-06,20:20-22:00,1168.09495472723
2025-05-07,16:50-18:10,450.60808916486735
2025-05-07,18:20-18:30,108.04161510217
2025-05-07,20:10-21:50,1333.286262966139
2025-05-08,无,0.0
2025-05-09,无,0.0
2025-05-10,07:40-07:50,10.63190000000001
2025-05-11,19:10-19:30,41.180716666666285
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,无,0.0
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,无,0.0
2025-05-20,15:00-16:00,537.5003896839787
2025-05-20,16:40-16:50,21.57039686583238
2025-05-20,18:00-18:20,55.4312405165208
2025-05-20,18:50-19:00,45.71932083227466
