日期,发布时间,交易时间段,购电量_kWh
2025-02-01,00:00,00:00-00:10,1261.081546394049
2025-02-01,00:00,00:10-00:20,840.8160160676773
2025-02-01,00:00,00:20-00:30,1244.963333333333
2025-02-01,00:00,00:30-00:40,1282.956188126938
2025-02-01,00:00,00:40-00:50,1296.3387526334534
2025-02-01,00:00,00:50-01:00,475.94858257241765
2025-02-01,00:00,01:00-01:10,501.9599237761332
2025-02-01,00:00,01:10-01:20,529.2396794032921
2025-02-01,00:00,01:20-01:30,514.7416666666667
2025-02-01,00:00,01:30-01:40,472.0022209306826
2025-02-01,00:00,01:40-01:50,486.3068550168169
2025-02-01,00:00,01:50-02:00,1280.6718204573897
2025-02-01,00:00,02:00-02:10,1288.0423602304265
2025-02-01,00:00,02:10-02:20,544.0154993269616
2025-02-01,00:00,02:20-02:30,528.226584571456
2025-02-01,00:00,02:30-02:40,489.48235000000017
2025-02-01,00:00,02:40-02:50,486.1610324468151
2025-02-01,00:00,02:50-03:00,504.34287196667447
2025-02-01,00:00,03:00-03:10,510.52771337684356
2025-02-01,00:00,03:10-03:20,510.35477361981805
2025-02-01,00:00,03:20-03:30,517.3866666666667
2025-02-01,00:00,03:30-03:40,449.18362867575655
2025-02-01,00:00,03:40-03:50,573.9315604983432
2025-02-01,00:00,03:50-04:00,569.5260454796845
2025-02-01,00:00,04:00-04:10,556.4035166666666
2025-02-01,00:00,04:10-04:20,528.4013474063521
2025-02-01,00:00,04:20-04:30,541.413382823136
2025-02-01,00:00,04:30-04:40,578.2019166666668
2025-02-01,00:00,04:40-04:50,592.1403428571429
2025-02-01,00:00,04:50-05:00,559.9593582361912
2025-02-01,00:00,05:00-05:10,538.181376844094
2025-02-01,00:00,05:10-05:20,522.1279361330006
2025-02-01,00:00,05:20-05:30,550.5220238423343
2025-02-01,00:00,05:30-05:40,670.9508953637506
2025-02-01,00:00,05:40-05:50,53.63031128133356
2025-02-01,00:00,05:50-06:00,0.0
2025-02-01,00:00,06:00-06:10,0.0
2025-02-01,00:00,06:10-06:20,0.0
2025-02-01,00:00,06:20-06:30,0.0
2025-02-01,00:00,06:30-06:40,0.0
2025-02-01,00:00,06:40-06:50,0.0
2025-02-01,00:00,06:50-07:00,0.0
2025-02-01,00:00,07:00-07:10,0.0
2025-02-01,00:00,07:10-07:20,0.0
2025-02-01,00:00,07:20-07:30,0.0
2025-02-01,00:00,07:30-07:40,0.0
2025-02-01,00:00,07:40-07:50,0.0
2025-02-01,00:00,07:50-08:00,0.0
2025-02-01,00:00,08:00-08:10,0.0
2025-02-01,00:00,08:10-08:20,0.0
