('2025-03-20', '0:00-4:00', 4820.62, 161.07, '00:00', 6000)
(None, '4:00-8:00', 955.86, 5565.38, '24:00', 6000)
(None, '8:00-12:00', 6138.24, 3085.97, None, None)
(None, '12:00-16:00', 3524.67, 506.33, None, None)
(None, '16:00-20:00', 367.59, 6104.36, None, None)
(None, '20:00-24:00', 5688.86, 3923.15, None, None)
('2025-06-21', '0:00-4:00', 981.83, 104.68, '00:00', 6000)
(None, '4:00-8:00', 468.82, 4210.86, '24:00', 6000)
(None, '8:00-12:00', 8677.73, 0, None, None)
(None, '12:00-16:00', 0, 0, None, None)
(None, '16:00-20:00', 192.77, 5790.46, None, None)
(None, '20:00-24:00', 6102.17, 4674.98, None, None)
('2025-09-23', '0:00-4:00', 5216.96, 15.81, '00:00', 6000)
(None, '4:00-8:00', 363.91, 6287.97, '24:00', 6000)
(None, '8:00-12:00', 6274.61, 2107.35, None, None)
(None, '12:00-16:00', 3431.67, 551.93, None, None)
(None, '16:00-20:00', 12.6, 5924.88, None, None)
(None, '20:00-24:00', 5845.81, 4143.08, None, None)
('2025-12-21', '0:00-4:00', 5138.6, 143.81, '00:00', 6000)
(None, '4:00-8:00', 1152.13, 1539.42, '24:00', 6000)
(None, '8:00-12:00', 5690.12, 7690.14, None, None)
(None, '12:00-16:00', 6499.38, 2458.84, None, None)
(None, '16:00-20:00', 0, 6178.73, None, None)
(None, '20:00-24:00', 5791.95, 3834.03, None, None)
